observable,quantity,draw_index,native_value,reporting_scale_value
A,q1,0,26923.752531840546,3.7780371609486485
A,q1,1,24278.792177253781,2.6199033155812668
A,q1,2,25317.259685211273,3.0746112155292771
A,q1,3,24933.663999736404,2.9066483402011305
A,q1,4,26128.004987692249,3.4296076800878286
A,q1,5,27415.67310728952,3.9934316437703257
A,q1,6,25411.020447537998,3.1156657107430594
A,q1,7,25149.209070953031,3.0010278426179444
A,q1,8,26039.078794088455,3.3906700701634871
A,q1,9,24973.872263852067,2.9242541056165048
A,q1,10,24559.833259335443,2.7429611861966077
A,q1,11,27383.867834617919,3.9795052487382629
A,q1,12,27511.8885752975,4.0355609670906798
A,q1,13,24438.668093090881,2.6899072794852854
A,q1,14,27646.420182185775,4.0944675616408706
A,q1,15,25812.984261533857,3.2916713347193385
A,q1,16,26482.25487477897,3.5847210764913835
A,q1,17,25398.749313607623,3.1102926186658348
A,q1,18,24621.568617382774,2.7699928985950564
A,q1,19,26027.953342888737,3.3857986317099646
A,q1,20,25434.921990072788,3.1261313441193876
A,q1,21,22224.663633354809,1.7204736567211081
A,q1,22,25300.794103420842,3.067401524267896
A,q1,23,25626.393363013187,3.2099698322981194
A,q1,24,24782.796437352521,2.8405888131228321
A,q1,25,24587.624816154253,2.7551301181473264
A,q1,26,26316.355441180716,3.5120796289005995
A,q1,27,25933.625711024906,3.3444959245350119
A,q1,28,22690.50242084797,1.9244478544232217
A,q1,29,27250.776611197321,3.9212293467583157
A,q1,30,25366.364428086883,3.0961124318305671
A,q1,31,26810.258994756245,3.7283423871499228
A,q1,32,27394.351442865074,3.9840956470448194
A,q1,33,25376.615605391686,3.1006010569137241
A,q1,34,25313.457888057968,3.0729465440914505
A,q1,35,25665.338782793555,3.2270226431999793
A,q1,36,27261.31457873372,3.9258435470597006
A,q1,37,25869.795808308245,3.3165470856972279
A,q1,38,27696.957004167707,4.1165958343286198
A,q1,39,26549.607040255571,3.6142121886216532
A,q1,40,25646.074156731138,3.2185873502389559
A,q1,41,24913.064542029257,2.8976285720501678
A,q1,42,26687.735790360846,3.6746938439469581
A,q1,43,25396.133169793811,3.1091471025563515
A,q1,44,26839.561895698047,3.7411730828120704
A,q1,45,26652.095713150349,3.6590883247196455
A,q1,46,27123.847064651727,3.8656514234156596
A,q1,47,24585.481125037462,2.754191472230739
A,q1,48,24864.923716768659,2.8765494209084386
A,q1,49,27156.644671342452,3.8800123261375874
A,q1,50,26480.587602074225,3.5839910372129222
A,q1,51,27532.823076856163,4.0447274389997725
A,q1,52,27142.441995864592,3.8737934808769565
A,q1,53,26411.929260787139,3.5539279972609368
A,q1,54,24412.677915687746,2.6785271073607864
A,q1,55,26717.185333313377,3.6875887489177566
A,q1,56,25138.528692127453,2.9963512854900474
A,q1,57,26814.099321480924,3.7300239293134592
A,q1,58,25959.289242056399,3.3557330698584438
A,q1,59,23918.723655828977,2.4622421466377316
A,q1,60,25730.351577535515,3.2554894282850628
A,q1,61,24455.918597362732,2.6974606603184763
A,q1,62,27495.82494815933,4.028527277441678
A,q1,63,25821.997284545701,3.2956178161783103
A,q2,0,21606.443673617185,2.1393529830671096
A,q2,1,24209.479077305063,3.2791293870773215
A,q2,2,23577.554585045327,3.0024321802804588
A,q2,3,23062.57236514629,2.7769398255110493
A,q2,4,24837.570190012004,3.5541480936295469
A,q2,5,22652.08639113458,2.5972026514822799
A,q2,6,23191.124738842456,2.8332283270084964
A,q2,7,23966.518742360713,3.1727457180393754
A,q2,8,22456.524374340683,2.5115730161932084
A,q2,9,23213.742564734246,2.8431318666318721
A,q2,10,22738.950785652534,2.6352374730909025
A,q2,11,23304.154191929872,2.8827198949697683
A,q2,12,23039.881154714814,2.7670041534139331
A,q2,13,26159.114946488171,4.1328054288855096
A,q2,14,21572.870809020678,2.1246526225464981
A,q2,15,24137.5347415498,3.2476275272947532
A,q2,16,23571.860720739427,2.9999390400894699
A,q2,17,26302.202841031896,4.1954585167649077
A,q2,18,23032.631968874666,2.7638299933709387
A,q2,19,24690.355269542855,3.4896879282275495
A,q2,20,23665.564529932428,3.0409685975563971
A,q2,21,24160.545777407038,3.2577032395439049
A,q2,22,25733.01119873851,3.9462297885168405
A,q2,23,24780.70420701478,3.529248506970351
A,q2,24,21078.880220085117,1.9083517546158624
A,q2,25,22903.394179317569,2.7072413727033426
A,q2,26,23712.889995958147,3.061690731957059
A,q2,27,23441.750430759384,2.9429683825916588
A,q2,28,24002.31237425244,3.1884184733873124
A,q2,29,24699.176275396727,3.4935503322185344
A,q2,30,21533.553127415944,2.1074368114630326
A,q2,31,23847.060051399756,3.1204390160182101
A,q2,32,23004.831432718085,2.7516571296883274
A,q2,33,24171.936156432512,3.2626906804475415
A,q2,34,21918.097616707935,2.2758151341574573
A,q2,35,22605.615922990495,2.5768548901729651
A,q2,36,23878.194554583144,3.1340717050045872
A,q2,37,22416.204081886692,2.4939181975623357
A,q2,38,23329.036907572357,2.8936151490707385
A,q2,39,24655.176990228247,3.474284613835565
A,q2,40,21213.870829948486,1.967459330205205
A,q2,41,23682.721094738023,3.0484808456462944
A,q2,42,23961.972104273424,3.170754907310438
A,q2,43,24339.686466861665,3.3361425610180695
A,q2,44,24193.5738516618,3.2721650557958628
A,q2,45,23148.493015426175,2.814561415162685
A,q2,46,22275.488474597249,2.4323038496985885
A,q2,47,23748.526422224422,3.0772946525660547
A,q2,48,21807.51369598318,2.2273943776335767
A,q2,49,21957.518967501659,2.2930763382829324
A,q2,50,25676.945855006823,3.9216807732489096
A,q2,51,21685.789896958042,2.1740958655431246
A,q2,52,21192.585930988542,1.9581394317659
A,q2,53,22821.89029531175,2.6715537275436163
A,q2,54,22323.811750866153,2.4534628896324024
A,q2,55,25336.573858722149,3.772644010475152
A,q2,56,23319.257865849024,2.889333255326882
A,q2,57,23749.755189929936,3.0778326861382332
A,q2,58,22610.129719111217,2.5788313205755724
A,q2,59,24180.100247586572,3.2662654449107533
A,q2,60,23172.828924449394,2.8252172421389554
A,q2,61,23676.916384461518,3.0459391699564811
A,q2,62,21666.865090743744,2.1658093675788774
A,q2,63,23295.015124007485,2.8787182229380215
A,delta_21,0,-5317.3088582233613,-1.6386841778815389
A,delta_21,1,-69.313099948718445,0.65922607149605494
A,delta_21,2,-1739.7051001659456,-0.072179035248818135
A,delta_21,3,-1871.0916345901132,-0.12970851469008121
A,delta_21,4,-1290.4347976802455,0.12454041354171851
A,delta_21,5,-4763.5867161549395,-1.396228992288046
A,delta_21,6,-2219.8957086955415,-0.28243738373456329
A,delta_21,7,-1182.6903285923181,0.17171787542143116
A,delta_21,8,-3582.554419747772,-0.87909705397027871
A,delta_21,9,-1760.1296991178206,-0.081122238984632611
A,delta_21,10,-1820.8824736829083,-0.10772371310570518
A,delta_21,11,-4079.7136426880461,-1.0967853537684946
A,delta_21,12,-4472.0074205826859,-1.2685568136767467
A,delta_21,13,1720.4468533972904,1.4428981494002246
A,delta_21,14,-6073.5493731650968,-1.9698149390943722
A,delta_21,15,-1675.4495199840567,-0.044043807424584969
A,delta_21,16,-2910.3941540395426,-0.58478203640191362
A,delta_21,17,903.45352742427349,1.0851658980990724
A,delta_21,18,-1588.9366485081082,-0.0061629052241177545
A,delta_21,19,-1337.5980733458819,0.10388929651758487
A,delta_21,20,-1769.3574601403598,-0.085162746562990721
A,delta_21,21,1935.8821440522297,1.5372295828227969
A,delta_21,22,432.21709531766828,0.87882826424894467
A,delta_21,23,-845.68915599840693,0.31927867467223148
A,delta_21,24,-3703.9162172674041,-0.93223705850696992
A,delta_21,25,-1684.2306368366844,-0.04788874544398411
A,delta_21,26,-2603.4654452225695,-0.45038889694354067
A,delta_21,27,-2491.8752802655217,-0.40152754194335299
A,delta_21,28,1311.8099534044704,1.2639706189640907
A,delta_21,29,-2551.6003358005946,-0.42767901453978102
A,delta_21,30,-3832.8113006709391,-0.98867562036753431
A,delta_21,31,-2963.1989433564886,-0.60790337113171278
A,delta_21,32,-4389.5200101469891,-1.232438517356492
A,delta_21,33,-1204.6794489591739,0.16208962353381767
A,delta_21,34,-3395.3602713500331,-0.79713140993399345
A,delta_21,35,-3059.7228598030597,-0.65016775302701435
A,delta_21,36,-3383.1200241505758,-0.7917718420551132
A,delta_21,37,-3453.5917264215532,-0.8226288881348921
A,delta_21,38,-4367.9200965953496,-1.2229806852578813
A,delta_21,39,-1894.4300500273239,-0.13992757478608825
A,delta_21,40,-4432.2033267826519,-1.2511280200337511
A,delta_21,41,-1230.343447291234,0.1508522735961266
A,delta_21,42,-2725.7636860874227,-0.50393893663652023
A,delta_21,43,-1056.4467029321459,0.2269954584617177
A,delta_21,44,-2645.9880440362467,-0.4690080270162077
A,delta_21,45,-3503.6026977241745,-0.84452690955696053
A,delta_21,46,-4848.3585900544786,-1.4333475737170711
A,delta_21,47,-836.95470281304006,0.32310318033531565
A,delta_21,48,-3057.410020785479,-0.64915504327486195
A,delta_21,49,-5199.125703840793,-1.5869359878546547
A,delta_21,50,-803.64174706740232,0.33768973603598762
A,delta_21,51,-5847.0331798981206,-1.8706315734566479
A,delta_21,52,-5949.8560648760504,-1.9156540491110563
A,delta_21,53,-3590.038965475389,-0.88237426971732047
A,delta_21,54,-2088.866164821593,-0.2250642177283837
A,delta_21,55,-1380.6114745912273,0.08505526155739547
A,delta_21,56,-1819.270826278429,-0.10701803016316536
A,delta_21,57,-3064.3441315509881,-0.6521912431752257
A,delta_21,58,-3349.1595229451814,-0.77690174928287126
A,delta_21,59,261.37659175759472,0.80402329827302177
A,delta_21,60,-2557.5226530861219,-0.4302721861461074
A,delta_21,61,-779.00221290121408,0.34847850963800514
A,delta_21,62,-5828.9598574155862,-1.8627179098628008
A,delta_21,63,-2526.9821605382167,-0.41689959324028847
A,ratio_21,0,0.80250491264414159,-0.93019290808314847
A,ratio_21,1,0.99714511745713375,0.62358012296181009
A,ratio_21,2,0.93128383080171306,0.13466150236660451
A,ratio_21,3,0.92495721308308743,0.085888445985454101
A,ratio_21,4,0.9506110474837971,0.28163204343145581
A,ratio_21,5,0.82624585953031537,-0.72159246336238925
A,ratio_21,6,0.91264043436277587,-0.010028266401908695
A,ratio_21,7,0.95297306069325627,0.29938830534221961
A,ratio_21,8,0.86241623799068101,-0.41503083368420862
A,ratio_21,9,0.92952115392751944,0.12110608032149837
A,ratio_21,10,0.92585933078390215,0.092863393337398528
A,ratio_21,11,0.85101762587640795,-0.51022977177289652
A,ratio_21,12,0.83745181984351191,-0.62520461073582378
A,ratio_21,13,1.0703985522796835,1.1307999152381034
A,ratio_21,14,0.78031335221192055,-1.1308369716135378
A,ratio_21,15,0.93509276172764,0.16386571411839085
A,ratio_21,16,0.89010021360336167,-0.18896051304949607
A,ratio_21,17,1.0355707880049132,0.89412391728877361
A,ratio_21,18,0.9354656612988369,0.16671845076143182
A,ratio_21,19,0.9486091720034785,0.26654851439174476
A,ratio_21,20,0.93043589986904862,0.12814390879142654
A,ratio_21,21,1.0871051268081671,1.2416116148153886
A,ratio_21,22,1.0170831434598817,0.76523408489860367
A,ratio_21,23,0.96699929076953151,0.40393126184543898
A,ratio_21,24,0.85054486378765237,-0.5142056751241898
A,ratio_21,25,0.93150088105581752,0.13632889816788973
A,ratio_21,26,0.90107044073631182,-0.10131591524274973
A,ratio_21,27,0.90391334755763919,-0.078777117463892113
A,ratio_21,28,1.0578131735064262,1.0461751280451987
A,ratio_21,29,0.90636595895207828,-0.059389497938381372
A,ratio_21,30,0.8489018277910152,-0.5280407252011331
A,ratio_21,31,0.88947518396088399,-0.19398654572019633
A,ratio_21,32,0.83976550715931442,-0.60546417800012486
A,ratio_21,33,0.95252797032937597,0.29604573866157941
A,ratio_21,34,0.86586738617990833,-0.38645557055776431
A,ratio_21,35,0.8807838507140866,-0.2642442799730601
A,ratio_21,36,0.87590033435916126,-0.3040257787955557
A,ratio_21,37,0.86650100557375054,-0.38122162383155028
A,ratio_21,38,0.84229602927360991,-0.5839358821719951
A,ratio_21,39,0.92864564634968372,0.11436365238812629
A,ratio_21,40,0.82717809752494365,-0.71352413272413762
A,ratio_21,41,0.95061452816390379,0.28165824163615433
A,ratio_21,42,0.89786455818136801,-0.12681788137968014
A,ratio_21,43,0.95840127723898205,0.34002830064755002
A,ratio_21,44,0.90141463358012719,-0.098583345641883341
A,ratio_21,45,0.86854306935437464,-0.36437937577801272
A,ratio_21,46,0.82125107185208457,-0.76497698526243585
A,ratio_21,47,0.96595735920088632,0.3962176426966062
A,ratio_21,48,0.87703923584838539,-0.29472840385970356
A,ratio_21,49,0.80855051252604615,-0.87649318755290928
A,ratio_21,50,0.96965166486696641,0.42352984893008666
A,ratio_21,51,0.78763408446796424,-1.0640230062147538
A,ratio_21,52,0.78079142378631339,-1.1264546731666754
A,ratio_21,53,0.86407509538481941,-0.40128136703620998
A,ratio_21,54,0.91443518928829703,0.0040286427515852053
A,ratio_21,55,0.948324965471952,0.26440452380887053
A,ratio_21,56,0.92763017881598764,0.10653540313398838
A,ratio_21,57,0.88571892365983274,-0.22426624437749804
A,ratio_21,58,0.87098415939989449,-0.34429797879798385
A,ratio_21,59,1.0109276981296573,0.72179990681272044
A,ratio_21,60,0.90060288739625982,-0.10502952438411815
A,ratio_21,61,0.96814667951236888,0.41241599080512203
A,ratio_21,62,0.78800563836853355,-1.0606485330424633
A,ratio_21,63,0.90213839260022699,-0.092840777397250579
y_c_um,q1,0,-1.3487382206518161,-2.0749818779258709
y_c_um,q1,1,-0.20010026414711718,-0.30784656022633411
y_c_um,q1,2,-0.59751965623752545,-0.91926100959619295
y_c_um,q1,3,-1.5427388797755905,-2.3734444304239855
y_c_um,q1,4,0.17379570182175702,0.26737800280270307
y_c_um,q1,5,-0.1058452822606526,-0.16283889578561936
y_c_um,q1,6,-1.0525227020036561,-1.61926569539024
y_c_um,q1,7,-0.37514102513151154,-0.57714003866386387
y_c_um,q1,8,-0.15129660323516506,-0.232764004977177
y_c_um,q1,9,-1.4060208074274041,-2.1631089345036987
y_c_um,q1,10,-1.2048928551815581,-1.8536813156639353
y_c_um,q1,11,-0.74319589631327598,-1.1433783020204245
y_c_um,q1,12,-0.60488141137857909,-0.93058678673627548
y_c_um,q1,13,-0.31863215373443982,-0.49020331343759971
y_c_um,q1,14,-0.57194834611978795,-0.87992053249198143
y_c_um,q1,15,-2.0501524322722933,-3.1540806650342974
y_c_um,q1,16,-1.374477154984314,-2.1145802384374059
y_c_um,q1,17,-1.5504422827038276,-2.3852958195443499
y_c_um,q1,18,-0.010897365711151309,-0.016765178017155859
y_c_um,q1,19,-0.5273814031690327,-0.81135600487543491
y_c_um,q1,20,-0.25347219981270352,-0.38995723048108233
y_c_um,q1,21,0.80673025217521133,1.2411234648849405
y_c_um,q1,22,-0.72944351065632895,-1.1222207856251214
y_c_um,q1,23,-0.3719313094250965,-0.5722020145001484
y_c_um,q1,24,0.57376432703448565,0.88271434928382408
y_c_um,q1,25,-0.94980478410212521,-1.4612381293878849
y_c_um,q1,26,-0.71506452375609142,-1.1000992673170638
y_c_um,q1,27,-0.65251904896027202,-1.0038754599388799
y_c_um,q1,28,-1.0347557145516926,-1.5919318685410655
y_c_um,q1,29,-0.80107933743554838,-1.2324297499008436
y_c_um,q1,30,-1.6879728004262304,-2.5968812314249696
y_c_um,q1,31,-1.2880643819206148,-1.9816375106470996
y_c_um,q1,32,-1.4659656278782673,-2.2553317351973341
y_c_um,q1,33,-0.30633449562883158,-0.47128383942897167
y_c_um,q1,34,-1.5239992335094901,-2.3446142053992154
y_c_um,q1,35,-1.7803203751362013,-2.7389544232864633
y_c_um,q1,36,-0.82858336032226765,-1.2747436312650271
y_c_um,q1,37,-1.2050881767505595,-1.8539818103854759
y_c_um,q1,38,-0.99354604005738478,-1.5285323693190536
y_c_um,q1,39,-0.44892738064233989,-0.69065750868052289
y_c_um,q1,40,-2.2287116435104206,-3.4287871438621855
y_c_um,q1,41,-0.39224060417678436,-0.60344708334889896
y_c_um,q1,42,-0.86470570695168059,-1.3303164722333547
y_c_um,q1,43,-0.56346123858857133,-0.86686344398241744
y_c_um,q1,44,-0.94672258304154089,-1.4564962816023705
y_c_um,q1,45,0.10437789063802735,0.16058137021234978
y_c_um,q1,46,-0.52846866285648275,-0.81302871208689653
y_c_um,q1,47,-0.14639950660806184,-0.22523001016624897
y_c_um,q1,48,-0.9667765156487208,-1.4873484856134165
y_c_um,q1,49,-0.54620640668782772,-0.84031754875050413
y_c_um,q1,50,0.56506974457252279,0.86933806857311191
y_c_um,q1,51,-2.1689044177088972,-3.3367760272444573
y_c_um,q1,52,-1.5439711142627175,-2.375340175788796
y_c_um,q1,53,0.20382203816358654,0.31357236640551772
y_c_um,q1,54,0.11670707036198247,0.17954933901843456
y_c_um,q1,55,0.35139450842352571,0.54060693603619336
y_c_um,q1,56,-0.74138195462675083,-1.1405876225026936
y_c_um,q1,57,-3.1522839494249739,-4.8496676144999595
y_c_um,q1,58,-1.3158862507582767,-2.0244403857819639
y_c_um,q1,59,0.21830286300484456,0.33585055846899159
y_c_um,q1,60,-0.78078076748611669,-1.2012011807478717
y_c_um,q1,61,-0.61261956685282548,-0.94249164131203922
y_c_um,q1,62,-0.99823553497758799,-1.535746976888597
y_c_um,q1,63,-0.88827743650773516,-1.3665806715503617
y_c_um,q2,0,-1.3652154749646828,-2.1003314999456659
y_c_um,q2,1,-1.1284459796826765,-1.7360707379733484
y_c_um,q2,2,1.6996733436377329,2.6148820671349737
y_c_um,q2,3,0.33392990976721415,0.51373832271879094
y_c_um,q2,4,-0.0051765088107539109,-0.0079638597088521699
y_c_um,q2,5,-0.38274146129467107,-0.58883301737641702
y_c_um,q2,6,0.025230185115016509,0.038815669407717704
y_c_um,q2,7,-0.95030424731560381,-1.4620065343316981
y_c_um,q2,8,-1.952235380403073,-3.0034390467739582
y_c_um,q2,9,-0.84094019618081717,-1.2937541479704879
y_c_um,q2,10,-0.49467440207082591,-0.76103754164742443
y_c_um,q2,11,-0.82173831347760384,-1.2642127899655444
y_c_um,q2,12,-0.20366051145290007,-0.31332386377369242
y_c_um,q2,13,-1.277527104137145,-1.965426314057146
y_c_um,q2,14,-1.58645283860736,-2.4406966747805536
y_c_um,q2,15,-0.76551939185011653,-1.1777221413078716
y_c_um,q2,16,1.1625719158538022,1.7885721782366186
y_c_um,q2,17,0.91564722015203381,1.4086880310031289
y_c_um,q2,18,0.72649010049014995,1.1176770776771536
y_c_um,q2,19,-0.16165219832387401,-0.24869568972903694
y_c_um,q2,20,0.71961980172883444,1.1071073872751298
y_c_um,q2,21,-1.3407691251245391,-2.0627217309608294
y_c_um,q2,22,-0.54792148430986243,-0.84295612970748068
y_c_um,q2,23,-0.78345717803230652,-1.2053187354343178
y_c_um,q2,24,-1.9965287631191726,-3.0715827124910349
y_c_um,q2,25,-0.10629823406825917,-0.16353574472039872
y_c_um,q2,26,-0.49840419703389904,-0.76677568774446003
y_c_um,q2,27,-1.6329523595502518,-2.5122343993080793
y_c_um,q2,28,-0.45910054710501413,-0.70630853400771398
y_c_um,q2,29,-1.0481997624437565,-1.6126150191442405
y_c_um,q2,30,-0.73791546092390636,-1.1352545552675481
y_c_um,q2,31,-0.49281317491904514,-0.75817411526006939
y_c_um,q2,32,-0.20572006412264304,-0.31649240634252773
y_c_um,q2,33,-0.61156578873858691,-0.94087044421321064
y_c_um,q2,34,-1.3086625892939794,-2.0133270604522759
y_c_um,q2,35,-0.063779538696482355,-0.098122367225357471
y_c_um,q2,36,0.20328139027479011,0.31274060042275403
y_c_um,q2,37,-0.084908306288771315,-0.13062816352118664
y_c_um,q2,38,-1.2726309205870894,-1.9578937239801375
y_c_um,q2,39,-1.2011664803827913,-1.8479484313581405
y_c_um,q2,40,-0.70200961944248308,-1.0800147991422817
y_c_um,q2,41,-2.0713129183077101,-3.1866352589349387
y_c_um,q2,42,-0.20647975976009442,-0.31766116886168372
y_c_um,q2,43,0.4997767605885991,0.76888732398246018
y_c_um,q2,44,-0.44440686326793388,-0.68370286656605206
y_c_um,q2,45,-2.1253569277457887,-3.269779888839675
y_c_um,q2,46,-0.34524763014301485,-0.53115020022002279
y_c_um,q2,47,-0.85286661296730182,-1.3121024814881566
y_c_um,q2,48,0.11484103650394617,0.17667851769837872
y_c_um,q2,49,-1.219015354200067,-1.8754082372308722
y_c_um,q2,50,0.38787440151033103,0.59672984847743238
y_c_um,q2,51,-0.34141780283370654,-0.52525815820570232
y_c_um,q2,52,-0.62147965376139624,-0.9561225442483019
y_c_um,q2,53,-0.51661168823641379,-0.79478721267140584
y_c_um,q2,54,1.4954536129382436,2.3006978660588362
y_c_um,q2,55,-1.1127191096245501,-1.7118755532685386
y_c_um,q2,56,-0.1216199030395617,-0.18710754313778724
y_c_um,q2,57,-0.66362882530446521,-1.020967423545331
