draw_index,endpoint_label,field_orientation,fit_status,A,centre_y_um,centre_z_um,sigma_y_um,sigma_z_um,aspect_ratio_y_over_z
0,B_parallel_y,y,success,18701.09539057222,-0.13175110795137496,0.0359862027793237,6.593292958983811,0.2355980829762259,27.98534213730906
0,B_parallel_z,z,success,17968.87854025082,-0.1730476150664907,-0.037488406242117654,8.647477074069913,0.7331384660917347,11.795148493801562
1,B_parallel_y,y,success,19927.258824349396,-0.25273728382864924,0.027952838521277838,6.4945933487857985,0.38928809057072344,16.683257222855886
1,B_parallel_z,z,success,18882.18312879007,-0.5004985490787147,0.031942557916680346,8.446907351461363,0.7418895396487406,11.38566713780691
2,B_parallel_y,y,success,18830.83075197297,-0.11622590036654426,-0.02834205426529489,6.257020483117987,0.4170734006915073,15.002204582559937
2,B_parallel_z,z,success,17870.096657069407,-0.5220595949546283,0.0017527395897107406,9.26846904329036,0.6912196335221541,13.4088625290666
3,B_parallel_y,y,success,18944.882093922173,-0.011368942025951553,-0.026089425779610854,6.586399132519954,0.30808516066280445,21.3785017050162
3,B_parallel_z,z,success,18597.698071084742,-1.1204275092827638,0.064253350251686,9.203041806988827,0.7069174527251288,13.018552267328518
4,B_parallel_y,y,success,19881.891883273158,-0.07773524240407732,-0.04944134904992078,6.581000633906894,0.42058856281407364,15.647122189616235
4,B_parallel_z,z,success,18078.514072188875,-0.19221848864761276,-0.05013160763943117,8.814326300338456,0.6540762112685636,13.475992779562036
5,B_parallel_y,y,success,19042.142373326533,-0.3780710614002188,0.025552409222648443,6.480880515158622,0.3174528181601511,20.415255888165078
5,B_parallel_z,z,success,18911.567388156367,-0.2557930453947157,-0.020091411964608712,8.604851943040874,0.7542175089336415,11.408979294589615
6,B_parallel_y,y,success,18021.67612491385,-0.09539426195691196,-0.008492133164479129,6.397886732149171,0.2854029368752813,22.417031871486994
6,B_parallel_z,z,success,18546.089724384783,-0.9563271046681472,-0.0026070566602453657,8.699555160026474,0.6786847973084064,12.818255535600635
7,B_parallel_y,y,success,18304.97585767588,0.18360742086638324,0.028012650755663053,6.310377227025987,0.2424754791347556,26.024805681563368
7,B_parallel_z,z,success,18540.560408457117,-1.4271209549346324,-0.0276360032760339,8.794877283433932,0.6825566060073927,12.885198393843801
8,B_parallel_y,y,success,18862.7257538838,-0.1930163345574889,-0.0042489478685891575,6.446670710035434,0.3433874124255113,18.773753715954474
8,B_parallel_z,z,success,19470.486671046747,-1.3113058322390359,-0.04155240794408534,8.454836095048446,0.7908122412573592,10.691331840799027
9,B_parallel_y,y,success,18637.12972330592,-0.2418999164416753,0.0015086868201587343,6.215884680296839,0.31782252426780633,19.557722331407692
9,B_parallel_z,z,success,19538.85703946662,-0.9922956123980563,-0.04997679355530138,9.120396705274455,0.7185619248368796,12.69256885180059
10,B_parallel_y,y,success,18861.07321276822,0.15197365464161205,0.03821905330478622,6.334707392926445,0.3472224649874847,18.243944536119727
10,B_parallel_z,z,success,17185.979305970242,-0.40493748028704313,-0.09733996154207414,8.961040851406796,0.6873664879538914,13.036772971113924
11,B_parallel_y,y,success,18896.026249533395,-0.13327139109659997,0.021503630087820764,6.156633215649832,0.3439182978142599,17.90144128642683
11,B_parallel_z,z,success,18659.90297499174,-1.0958950467198805,-0.037487092393737945,8.98331518435361,0.7046461364776265,12.74869004357174
12,B_parallel_y,y,success,19228.9439609599,-0.3269245330914346,0.01702099026997921,6.248340048036694,0.2724665405488485,22.932504062518003
12,B_parallel_z,z,success,19713.61983763595,-1.0623317712925913,-0.011844898081455052,8.847114966585055,0.7157442696326624,12.360720639964905
13,B_parallel_y,y,success,19833.551251554927,-0.27575298010386134,0.0213653979128334,6.4365177754242024,0.36072715135762595,17.84317523978953
13,B_parallel_z,z,success,17929.10535351814,-0.34282702939054727,-0.012766174051118236,8.535638099648697,0.6838918344721384,12.480976770598417
14,B_parallel_y,y,success,19274.813483868296,-0.20416515677841104,-0.016017698510043876,6.582344029457353,0.38602763763771675,17.051483851616915
14,B_parallel_z,z,success,18163.68907529586,-0.5328568589974684,0.04139285660989318,8.601086475091984,0.7067087146095894,12.170624611362724
15,B_parallel_y,y,success,18527.210585253728,-0.26643507083062584,-0.007829472089300401,6.059175098412562,0.38120347690173445,15.894857905439512
15,B_parallel_z,z,success,19559.536532049897,0.03767549911852615,0.05303420484756095,9.238451996236309,0.7201667745730915,12.828211912043264
16,B_parallel_y,y,success,17958.257030116638,-0.10604108867196657,0.006038448956816526,6.25057680877773,0.16943918458271148,36.889795144915375
16,B_parallel_z,z,success,18677.449968342375,-0.3351077892389118,0.028587246483049153,8.995323474035528,0.7101519390350729,12.666759012526287
17,B_parallel_y,y,success,18371.195567369763,-0.10902038654830627,-0.019238899621102017,6.4403743016738435,0.25198145406353434,25.558921888156
17,B_parallel_z,z,success,18425.060288662004,-1.1258130874232322,0.0017302558045099038,9.062223093804521,0.7143504765641466,12.685962130789955
18,B_parallel_y,y,success,17801.87408161885,-0.43546116635773424,0.0032753223457985914,6.433877108226863,0.18088033487795355,35.56979874328534
18,B_parallel_z,z,success,16945.137428645383,0.11001408393610544,-0.045919425003615406,8.5592108853595,0.7078786825790255,12.09135279250901
19,B_parallel_y,y,success,18887.977894167543,-0.17334845184488154,-0.023944585427875805,6.837474226417454,0.2880998310710863,23.733003247510975
19,B_parallel_z,z,success,18553.9001458513,-0.4411226472599381,-0.07351362610753882,8.891121917424258,0.6941975428710998,12.807769213143386
20,B_parallel_y,y,success,18900.546389049756,-0.18218997823481578,0.0018547709304078202,6.214993210834615,0.41838717767936984,14.854645511142941
20,B_parallel_z,z,success,18819.60170438586,-0.7267232745206321,0.02513576912363687,8.822029391898477,0.7428693948104179,11.875612932135777
21,B_parallel_y,y,success,18920.93651668497,-0.3418556986268683,0.02127699347685899,6.352631610118861,0.3858028751801211,16.46600380350454
21,B_parallel_z,z,success,18851.953633177935,-0.7645819071897851,-3.268799331737549e-05,9.090399943905725,0.6731832011401957,13.503604856016866
22,B_parallel_y,y,success,18270.93117173115,-0.37079140868657895,0.0006085840585229863,6.378551702891787,0.3671522378733233,17.373043236338784
22,B_parallel_z,z,success,19128.306119321907,-0.8342153978270522,0.048587992297616886,8.883004371095282,0.7042136635661508,12.61407557205236
23,B_parallel_y,y,success,18223.36724444237,0.04974077531176475,0.02037454644794746,6.363968612934695,0.28655493283053646,22.208546717631393
23,B_parallel_z,z,success,19705.461291742515,-0.6061727089635224,0.02368296534424149,8.94305027899753,0.7436610293509516,12.02570785079702
24,B_parallel_y,y,success,18884.807971081074,-0.14353115502755387,0.03670154187399249,6.602107433751938,0.22874480507129913,28.862327307035798
24,B_parallel_z,z,success,17887.86954623782,-1.4891929234533068,-0.006181776144556178,8.672932379303232,0.7216716740305543,12.017836768990374
25,B_parallel_y,y,success,19150.991100616353,-0.30374414415113243,0.0012603542709385006,6.471655500039123,0.40838818632653573,15.84682348001264
25,B_parallel_z,z,success,19303.92279077962,0.2682493932549825,0.02445563902464164,8.886504554564318,0.7495608633270695,11.855614386161873
26,B_parallel_y,y,success,18566.169368071725,-0.01583917410276472,-0.047004214441846284,6.3726005151037715,0.32586804715296835,19.555769799400913
26,B_parallel_z,z,success,18058.171896955584,0.34908784771781876,-0.004595676571922016,9.080428194340737,0.7021122858083194,12.933014245558644
27,B_parallel_y,y,success,18511.22352522295,-0.2480704228607462,-0.022717239149356482,6.533801289828132,0.306735135770871,21.301117895762797
27,B_parallel_z,z,success,19022.47740620272,-1.803552732607778,-0.018927145892851004,8.70256967984028,0.7086688785354649,12.280163477511543
28,B_parallel_y,y,success,18791.237401979877,-0.0495929282049442,-0.019199457908806332,6.882162252079507,0.3379998215590874,20.361437530748525
28,B_parallel_z,z,success,17661.86023659464,-0.7414070301034777,-0.004424158117959747,8.7055899947531,0.6260426296350005,13.905746322464799
29,B_parallel_y,y,success,19470.225400339667,0.14894370077140215,-0.020860260495028808,6.595593243062639,0.3153061593834028,20.918060262319827
29,B_parallel_z,z,success,18603.485776188732,-1.2579564370655933,0.030289804795443222,8.830911994064639,0.7130143179129189,12.38532210673386
30,B_parallel_y,y,success,19238.422174722324,-0.4039613935498807,0.011078975826734894,6.690395087885535,0.3968583965359129,16.858393689750496
