route_id,route_kind,endpoint_or_operation,observable,estimate,interval_low,interval_high,finite_bootstrap_count,information_level,interpretation,generator_same_model_value,generator_value_available,inverse_minus_generator,generator_inside_frozen_conditional_interval,relative_discrepancy_percent,relative_discrepancy_unavailable_reason,comparator_changes_frozen_estimate_interval_or_information,components_json
endpoint:B_parallel_y:A,endpoint,B_parallel_y,A,18771.728464164367,18305.13837650433,19212.953945608897,64,informative_but_inconclusive,endpoint-local model-conditional estimate,18292.219843006897,True,479.50862115747077,False,2.6213801565521124,,False,"{""calibration"": ""endpoint_local_control_only"", ""detector_statistics"": ""conditional_64_complete"", ""finite_aperture_and_camera_sampling"": ""deterministic_eligibility_pass_identity"", ""fit_and_raw_data"": ""supported"", ""identifiability"": ""supported"", ""profile_model_dependence"": {""grade"": ""stable"", ""maximum_normalised_shift"": 0.005516804811377669}, ""reference"": ""same_model_not_independent"", ""relative_change"": ""not_applicable_endpoint_local"", ""repeatability"": ""not_assessed""}"
endpoint:B_parallel_y:centre_y_um,endpoint,B_parallel_y,centre_y_um,-0.09401624110586654,-0.31784856422140295,0.053455626038106246,64,informative_but_inconclusive,endpoint-local model-conditional estimate,,False,,,,generator value unavailable,False,"{""calibration"": ""model_conditional_pixel_and_optical_contract"", ""detector_statistics"": ""conditional_64_complete"", ""finite_aperture_and_camera_sampling"": ""deterministic_eligibility_pass_identity"", ""fit_and_raw_data"": ""supported"", ""identifiability"": ""supported"", ""profile_model_dependence"": {""grade"": ""stable"", ""maximum_normalised_shift"": 0.05101564082435831}, ""reference"": ""same_model_not_independent"", ""relative_change"": ""not_applicable_endpoint_local"", ""repeatability"": ""not_assessed""}"
endpoint:B_parallel_y:centre_z_um,endpoint,B_parallel_y,centre_z_um,0.0004082169260420577,-0.020796878646289086,0.02547779864549413,64,informative_but_inconclusive,endpoint-local model-conditional estimate,,False,,,,generator value unavailable,False,"{""calibration"": ""model_conditional_pixel_and_optical_contract"", ""detector_statistics"": ""conditional_64_complete"", ""finite_aperture_and_camera_sampling"": ""deterministic_eligibility_pass_identity"", ""fit_and_raw_data"": ""supported"", ""identifiability"": ""supported"", ""profile_model_dependence"": {""grade"": ""stable"", ""maximum_normalised_shift"": 0.000388158373990998}, ""reference"": ""same_model_not_independent"", ""relative_change"": ""not_applicable_endpoint_local"", ""repeatability"": ""not_assessed""}"
endpoint:B_parallel_y:sigma_y_um,endpoint,B_parallel_y,sigma_y_um,6.448030740729722,6.216957024290237,6.586320406703578,64,informative_but_inconclusive,endpoint-local model-conditional estimate,6.349360441717577,True,0.09867029901214508,True,1.5540194940555871,,False,"{""calibration"": ""model_conditional_pixel_and_optical_contract"", ""detector_statistics"": ""conditional_64_complete"", ""finite_aperture_and_camera_sampling"": ""deterministic_eligibility_pass_identity"", ""fit_and_raw_data"": ""supported"", ""identifiability"": ""supported"", ""profile_model_dependence"": {""grade"": ""stable"", ""maximum_normalised_shift"": 0.0828394338020196}, ""reference"": ""same_model_not_independent"", ""relative_change"": ""not_applicable_endpoint_local"", ""repeatability"": ""not_assessed""}"
endpoint:B_parallel_y:sigma_z_um,endpoint,B_parallel_y,sigma_z_um,0.3148020330770579,0.27249641494438887,0.3854349233178501,64,informative_but_inconclusive,endpoint-local model-conditional estimate,0.3244224145294148,True,-0.009620381452356885,True,-2.9653874151425574,,False,"{""calibration"": ""model_conditional_pixel_and_optical_contract"", ""detector_statistics"": ""conditional_64_complete"", ""finite_aperture_and_camera_sampling"": ""deterministic_eligibility_pass_identity"", ""fit_and_raw_data"": ""supported"", ""identifiability"": ""supported"", ""profile_model_dependence"": {""grade"": ""stable"", ""maximum_normalised_shift"": 0.010827279779054032}, ""reference"": ""same_model_not_independent"", ""relative_change"": ""not_applicable_endpoint_local"", ""repeatability"": ""not_assessed""}"
endpoint:B_parallel_y:aspect_ratio_y_over_z,endpoint,B_parallel_y,aspect_ratio_y_over_z,20.482811618790784,16.743445379212513,23.33126350980285,64,model_sensitive,endpoint-local model-conditional estimate,19.571275464821166,True,0.9115361539696174,True,4.657520434005841,,False,"{""calibration"": ""model_conditional_pixel_and_optical_contract"", ""detector_statistics"": ""conditional_64_complete"", ""finite_aperture_and_camera_sampling"": ""deterministic_eligibility_pass_identity"", ""fit_and_raw_data"": ""supported"", ""identifiability"": ""supported"", ""profile_model_dependence"": {""grade"": ""stable"", ""maximum_normalised_shift"": 0.1917441263238921}, ""reference"": ""same_model_not_independent"", ""relative_change"": ""not_applicable_endpoint_local"", ""repeatability"": ""not_assessed""}"
endpoint:B_parallel_z:A,endpoint,B_parallel_z,A,18594.548817582006,17932.287208456757,19535.560858797304,64,informative_but_inconclusive,endpoint-local model-conditional estimate,18292.2198430069,True,302.32897457510626,True,1.652773568051591,,False,"{""calibration"": ""endpoint_local_control_only"", ""detector_statistics"": ""conditional_64_complete"", ""finite_aperture_and_camera_sampling"": ""deterministic_eligibility_pass_identity"", ""fit_and_raw_data"": ""supported"", ""identifiability"": ""supported"", ""profile_model_dependence"": {""grade"": ""stable"", ""maximum_normalised_shift"": 0.06400918757714134}, ""reference"": ""same_model_not_independent"", ""relative_change"": ""not_applicable_endpoint_local"", ""repeatability"": ""not_assessed""}"
endpoint:B_parallel_z:centre_y_um,endpoint,B_parallel_z,centre_y_um,-0.7410219365618961,-1.1896210159151521,-0.2762512935937915,64,informative_but_inconclusive,endpoint-local model-conditional estimate,,False,,,,generator value unavailable,False,"{""calibration"": ""model_conditional_pixel_and_optical_contract"", ""detector_statistics"": ""conditional_64_complete"", ""finite_aperture_and_camera_sampling"": ""deterministic_eligibility_pass_identity"", ""fit_and_raw_data"": ""supported"", ""identifiability"": ""supported"", ""profile_model_dependence"": {""grade"": ""stable"", ""maximum_normalised_shift"": 0.0802120252057949}, ""reference"": ""same_model_not_independent"", ""relative_change"": ""not_applicable_endpoint_local"", ""repeatability"": ""not_assessed""}"
endpoint:B_parallel_z:centre_z_um,endpoint,B_parallel_z,centre_z_um,0.006864735488209003,-0.03725839623845078,0.041017657441558886,64,informative_but_inconclusive,endpoint-local model-conditional estimate,,False,,,,generator value unavailable,False,"{""calibration"": ""model_conditional_pixel_and_optical_contract"", ""detector_statistics"": ""conditional_64_complete"", ""finite_aperture_and_camera_sampling"": ""deterministic_eligibility_pass_identity"", ""fit_and_raw_data"": ""supported"", ""identifiability"": ""supported"", ""profile_model_dependence"": {""grade"": ""stable"", ""maximum_normalised_shift"": 0.002983396445174536}, ""reference"": ""same_model_not_independent"", ""relative_change"": ""not_applicable_endpoint_local"", ""repeatability"": ""not_assessed""}"
endpoint:B_parallel_z:sigma_y_um,endpoint,B_parallel_z,sigma_y_um,8.917242875074116,8.69979632161158,9.198217120063166,64,informative_but_inconclusive,endpoint-local model-conditional estimate,8.892155861775429,True,0.025087013298687566,True,0.282125208876834,,False,"{""calibration"": ""model_conditional_pixel_and_optical_contract"", ""detector_statistics"": ""conditional_64_complete"", ""finite_aperture_and_camera_sampling"": ""deterministic_eligibility_pass_identity"", ""fit_and_raw_data"": ""supported"", ""identifiability"": ""supported"", ""profile_model_dependence"": {""grade"": ""stable"", ""maximum_normalised_shift"": 0.09996164420738432}, ""reference"": ""same_model_not_independent"", ""relative_change"": ""not_applicable_endpoint_local"", ""repeatability"": ""not_assessed""}"
