method,state,role,seed
pci,smooth_bec,atom,20260818:4405:1:1:1:0
pci,smooth_bec,bright_reference,20260818:4405:1:1:2:0
pci,smooth_bec,dark,20260818:4405:1:1:3:0
pci,connected_modulated,atom,20260818:4405:1:2:1:0
pci,connected_modulated,bright_reference,20260818:4405:1:2:2:0
pci,connected_modulated,dark,20260818:4405:1:2:3:0
pci,separated_droplets,atom,20260818:4405:1:3:1:0
pci,separated_droplets,bright_reference,20260818:4405:1:3:2:0
pci,separated_droplets,dark,20260818:4405:1:3:3:0
dgi,smooth_bec,atom_stop,20260818:4405:2:1:1:0
dgi,smooth_bec,leakage_stop,20260818:4405:2:1:2:0
dgi,smooth_bec,stop_dark,20260818:4405:2:1:3:0
dgi,smooth_bec,open_reference,20260818:4405:2:1:4:0
dgi,smooth_bec,open_dark,20260818:4405:2:1:5:0
dgi,connected_modulated,atom_stop,20260818:4405:2:2:1:0
dgi,connected_modulated,leakage_stop,20260818:4405:2:2:2:0
dgi,connected_modulated,stop_dark,20260818:4405:2:2:3:0
dgi,connected_modulated,open_reference,20260818:4405:2:2:4:0
dgi,connected_modulated,open_dark,20260818:4405:2:2:5:0
dgi,separated_droplets,atom_stop,20260818:4405:2:3:1:0
dgi,separated_droplets,leakage_stop,20260818:4405:2:3:2:0
dgi,separated_droplets,stop_dark,20260818:4405:2:3:3:0
dgi,separated_droplets,open_reference,20260818:4405:2:3:4:0
dgi,separated_droplets,open_dark,20260818:4405:2:3:5:0
dffi,smooth_bec,crossed_atom,20260818:4405:3:1:1:0
dffi,smooth_bec,crossed_blank,20260818:4405:3:1:2:0
dffi,smooth_bec,crossed_dark,20260818:4405:3:1:3:0
dffi,smooth_bec,open_reference,20260818:4405:3:1:4:0
dffi,smooth_bec,open_dark,20260818:4405:3:1:5:0
dffi,connected_modulated,crossed_atom,20260818:4405:3:2:1:0
dffi,connected_modulated,crossed_blank,20260818:4405:3:2:2:0
dffi,connected_modulated,crossed_dark,20260818:4405:3:2:3:0
dffi,connected_modulated,open_reference,20260818:4405:3:2:4:0
dffi,connected_modulated,open_dark,20260818:4405:3:2:5:0
dffi,separated_droplets,crossed_atom,20260818:4405:3:3:1:0
dffi,separated_droplets,crossed_blank,20260818:4405:3:3:2:0
dffi,separated_droplets,crossed_dark,20260818:4405:3:3:3:0
dffi,separated_droplets,open_reference,20260818:4405:3:3:4:0
dffi,separated_droplets,open_dark,20260818:4405:3:3:5:0
dpfi,smooth_bec,atom_h,20260818:4405:4:1:1:0
dpfi,smooth_bec,atom_v,20260818:4405:4:1:2:0
dpfi,smooth_bec,blank_h,20260818:4405:4:1:3:0
dpfi,smooth_bec,blank_v,20260818:4405:4:1:4:0
dpfi,smooth_bec,dark_h,20260818:4405:4:1:5:0
dpfi,smooth_bec,dark_v,20260818:4405:4:1:6:0
dpfi,connected_modulated,atom_h,20260818:4405:4:2:1:0
dpfi,connected_modulated,atom_v,20260818:4405:4:2:2:0
dpfi,connected_modulated,blank_h,20260818:4405:4:2:3:0
dpfi,connected_modulated,blank_v,20260818:4405:4:2:4:0
dpfi,connected_modulated,dark_h,20260818:4405:4:2:5:0
dpfi,connected_modulated,dark_v,20260818:4405:4:2:6:0
dpfi,separated_droplets,atom_h,20260818:4405:4:3:1:0
dpfi,separated_droplets,atom_v,20260818:4405:4:3:2:0
dpfi,separated_droplets,blank_h,20260818:4405:4:3:3:0
dpfi,separated_droplets,blank_v,20260818:4405:4:3:4:0
dpfi,separated_droplets,dark_h,20260818:4405:4:3:5:0
dpfi,separated_droplets,dark_v,20260818:4405:4:3:6:0
