duration_us,image_q,observable,truth,supported_count,predeclared_sequence_count,q16,median,q84
25,1,eta,1,64,64,0.967887691144418,1.004092628645748,1.0331760960539966
25,2,eta,0.9971346149712348,64,64,0.9542885950475358,1.0005354223952276,1.0499093387471428
25,3,eta,0.9942724016468425,64,64,0.9633526273758029,0.9905827075890612,1.035058158809226
25,4,eta,0.9914133579571729,64,64,0.9618031744863779,0.9937180589008637,1.0243165637696423
25,5,eta,0.9885574807782154,64,64,0.9441348241997608,1.0028941492805736,1.0335985724000456
25,6,eta,0.9857047676413769,64,64,0.932763144482372,0.994041371070874,1.0363741656313246
25,7,eta,0.9828552195818461,64,64,0.9354445645292813,0.9759155144548295,1.0091639358642686
25,8,eta,0.9800088303367503,64,64,0.9346742637136034,0.9762629999748518,1.013820865141389
25,9,eta,0.9771655940647711,64,64,0.9400114382794461,0.9799640949874802,1.01497925350798
25,10,eta,0.9743255200639209,64,64,0.9307076487591739,0.9730809231757405,1.0247163279670726
25,11,eta,0.9714886009770195,64,64,0.9348707605298266,0.9654645914211286,1.004865854900161
25,12,eta,0.9686548339841495,64,64,0.9407289537721725,0.9692221275864321,1.009659215012807
25,13,eta,0.9658239847963671,64,64,0.9242010080016752,0.9645804247973788,1.0158916226172985
25,14,eta,0.9629963658373403,64,64,0.9324284358463631,0.9750978998274884,1.005507812428065
25,15,eta,0.9601719341388688,64,64,0.9097362262133253,0.9544709724687916,0.998782722111085
200,1,eta,1,64,64,0.9846871833874593,0.9977134783096513,1.0095735733335904
200,2,eta,0.9771655940647711,64,64,0.9589173810298219,0.974409921025407,0.9913469349244894
200,3,eta,0.9545325693787938,64,64,0.9408749790984734,0.9593276264447677,0.971444165106479
200,4,eta,0.9321009805254068,64,64,0.915701907503281,0.9273640916508339,0.9460820987644823
200,5,eta,0.9098688110993524,64,64,0.8960810944773556,0.9096477839741453,0.9185725872876825
200,6,eta,0.8878367131115975,64,64,0.8688777563035279,0.8846957217066562,0.899247771540279
200,7,eta,0.8660035396318387,64,64,0.8505790169157652,0.8672539419874155,0.8815654726677838
200,8,eta,0.8443676775148694,64,64,0.828273376951277,0.841880643180068,0.8538325708216815
200,9,eta,0.8229298724509774,64,64,0.8074655045349647,0.8208133507609332,0.833250743665155
200,10,eta,0.801689871048849,64,64,0.7852310804721782,0.8012656716366221,0.8110224252201557
