duration_us,image_q,predeclared_sequence_count,joint_supported_count,joint_unsupported_count,eta_rho_sample_covariance,eta_rho_sample_correlation,conditioning
25,1,64,64,0,0.0005221051331649026,0.40453711931908115,jointly_supported_predeclared_sequences
25,2,64,64,0,0.0011773755364709408,0.6266162040785096,jointly_supported_predeclared_sequences
25,3,64,64,0,0.000712160162419133,0.500401927327493,jointly_supported_predeclared_sequences
25,4,64,64,0,0.0004853531742825673,0.34233386323976395,jointly_supported_predeclared_sequences
25,5,64,64,0,0.0007143509881641708,0.49454116121630165,jointly_supported_predeclared_sequences
25,6,64,64,0,0.0009504421421866919,0.5392994949678893,jointly_supported_predeclared_sequences
25,7,64,64,0,0.0007241884558001746,0.5038118096843921,jointly_supported_predeclared_sequences
25,8,64,64,0,0.0008593091379182806,0.4741937508954772,jointly_supported_predeclared_sequences
25,9,64,64,0,0.0006650668898783842,0.5353604194882264,jointly_supported_predeclared_sequences
25,10,64,64,0,0.0011447817590648382,0.6011135418818372,jointly_supported_predeclared_sequences
25,11,64,64,0,0.00038051938202116455,0.3184462627199904,jointly_supported_predeclared_sequences
25,12,64,64,0,0.0005788276219804864,0.4616241402361983,jointly_supported_predeclared_sequences
25,13,64,64,0,0.0008141913463607226,0.38929370586023676,jointly_supported_predeclared_sequences
25,14,64,64,0,0.0005739801949706268,0.41090726404075184,jointly_supported_predeclared_sequences
25,15,64,64,0,0.000875426044153787,0.566914187322135,jointly_supported_predeclared_sequences
100,1,64,64,0,8.967122106658851e-05,0.3209542505794876,jointly_supported_predeclared_sequences
100,2,64,64,0,0.00027123380952604126,0.5716309074593385,jointly_supported_predeclared_sequences
100,3,64,64,0,0.00016395804895284822,0.4257299566305088,jointly_supported_predeclared_sequences
100,4,64,64,0,0.00011106565403722443,0.410859225820456,jointly_supported_predeclared_sequences
100,5,64,64,0,0.0001979513373101753,0.5659533839225961,jointly_supported_predeclared_sequences
100,6,64,64,0,0.0001131612032186886,0.3496077460293821,jointly_supported_predeclared_sequences
100,7,64,64,0,0.00027712034084814355,0.5897549479591764,jointly_supported_predeclared_sequences
100,8,64,64,0,0.00014775282293471632,0.4532936396345562,jointly_supported_predeclared_sequences
100,9,64,64,0,0.00017807085516236408,0.5699495360753828,jointly_supported_predeclared_sequences
100,10,64,64,0,0.00022340911590883073,0.49848514055441673,jointly_supported_predeclared_sequences
100,11,64,64,0,0.00028081462319774173,0.6260438704760574,jointly_supported_predeclared_sequences
100,12,64,64,0,0.0002496175703730913,0.5663507228259889,jointly_supported_predeclared_sequences
100,13,64,64,0,0.00019758018899580988,0.5106396089856272,jointly_supported_predeclared_sequences
100,14,64,64,0,0.0002317410844608151,0.5882931452450325,jointly_supported_predeclared_sequences
100,15,64,64,0,0.00019158562753541095,0.45308984820090703,jointly_supported_predeclared_sequences
150,1,64,64,0,8.10343995812831e-05,0.4119329434404956,jointly_supported_predeclared_sequences
150,2,64,64,0,8.933517311327928e-05,0.3951119442167119,jointly_supported_predeclared_sequences
150,3,64,64,0,0.00011385169077659069,0.4791676489468591,jointly_supported_predeclared_sequences
150,4,64,64,0,8.226960966861204e-05,0.4071942285629855,jointly_supported_predeclared_sequences
150,5,64,64,0,6.842291471516661e-05,0.3256126281799509,jointly_supported_predeclared_sequences
150,6,64,64,0,0.00011137934979531442,0.4304835148302757,jointly_supported_predeclared_sequences
150,7,64,64,0,0.00016149592894801378,0.5344774403307612,jointly_supported_predeclared_sequences
150,8,64,64,0,0.0001073734299125096,0.4602106391700961,jointly_supported_predeclared_sequences
150,9,64,64,0,0.00017927437119216153,0.6057396193948889,jointly_supported_predeclared_sequences
150,10,64,64,0,5.0459858037521194e-05,0.2337539326389346,jointly_supported_predeclared_sequences
150,11,64,64,0,0.00012099630712163896,0.4533172522176671,jointly_supported_predeclared_sequences
150,12,64,64,0,8.440700617952275e-05,0.3683253637775023,jointly_supported_predeclared_sequences
150,13,64,64,0,0.00022463879871836273,0.6458467367544817,jointly_supported_predeclared_sequences
150,14,64,64,0,0.0001459212430834159,0.5455966455168741,jointly_supported_predeclared_sequences
150,15,64,64,0,7.551512324203031e-05,0.272041400088894,jointly_supported_predeclared_sequences
200,1,64,64,0,2.4055892321405374e-05,0.18212627861377698,jointly_supported_predeclared_sequences
200,2,64,64,0,8.789207526214555e-05,0.47963126750194707,jointly_supported_predeclared_sequences
200,3,64,64,0,7.050123628930456e-05,0.3941899444457923,jointly_supported_predeclared_sequences
200,4,64,64,0,0.00012084354384552368,0.5631011803300454,jointly_supported_predeclared_sequences
200,5,64,64,0,9.422261521286965e-05,0.5299812952958832,jointly_supported_predeclared_sequences
200,6,64,64,0,0.00010042564021438152,0.4845515092192929,jointly_supported_predeclared_sequences
200,7,64,64,0,8.611616738601785e-05,0.43520298055009926,jointly_supported_predeclared_sequences
200,8,64,64,0,8.019195980250866e-05,0.42168163745554726,jointly_supported_predeclared_sequences
200,9,64,64,0,0.00013860735714442833,0.6575311380773844,jointly_supported_predeclared_sequences
200,10,64,64,0,8.016769314293883e-05,0.4582273458969598,jointly_supported_predeclared_sequences
200,11,64,64,0,8.974210636130008e-05,0.5228534761771434,jointly_supported_predeclared_sequences
200,12,64,64,0,6.492127530492923e-05,0.3510202641298992,jointly_supported_predeclared_sequences
200,13,64,64,0,9.082187167302132e-05,0.465850829105836,jointly_supported_predeclared_sequences
200,14,64,64,0,8.236983984442946e-05,0.3639595115309728,jointly_supported_predeclared_sequences
200,15,64,64,0,7.992696439651364e-05,0.5148095876514783,jointly_supported_predeclared_sequences
250,1,64,64,0,9.87658977364995e-05,0.6544044819446538,jointly_supported_predeclared_sequences
250,2,64,64,0,0.00010658586170904056,0.6505650351126764,jointly_supported_predeclared_sequences
250,3,64,64,0,6.993171185255718e-05,0.4481253340293101,jointly_supported_predeclared_sequences
250,4,64,64,0,8.770193578419912e-05,0.5518994137045404,jointly_supported_predeclared_sequences
250,5,64,64,0,6.537464392186752e-05,0.5117264290117778,jointly_supported_predeclared_sequences
250,6,64,64,0,9.260903424051766e-05,0.6245298421095546,jointly_supported_predeclared_sequences
250,7,64,64,0,9.563436454996613e-05,0.6039875937654368,jointly_supported_predeclared_sequences
250,8,64,64,0,4.210177658447521e-05,0.3792442166957006,jointly_supported_predeclared_sequences
250,9,64,64,0,8.160300414841574e-05,0.4596090666036942,jointly_supported_predeclared_sequences
250,10,64,64,0,0.00011240587975306999,0.6184194763647527,jointly_supported_predeclared_sequences
250,11,64,64,0,6.150950258487275e-05,0.41540999463204753,jointly_supported_predeclared_sequences
250,12,64,64,0,7.985535956547418e-05,0.45810254626765745,jointly_supported_predeclared_sequences
250,13,64,64,0,8.036127269906176e-05,0.4869920230947226,jointly_supported_predeclared_sequences
250,14,64,64,0,6.62748686096193e-05,0.4218510674299006,jointly_supported_predeclared_sequences
250,15,64,64,0,4.104744511041054e-05,0.37365206575666626,jointly_supported_predeclared_sequences
300,1,64,64,0,6.058437293459688e-05,0.5228429381545812,jointly_supported_predeclared_sequences
300,2,64,64,0,7.861142811211467e-05,0.5717497054429682,jointly_supported_predeclared_sequences
300,3,64,64,0,7.407276447951377e-05,0.5951041527328241,jointly_supported_predeclared_sequences
300,4,64,64,0,6.840414442604029e-05,0.5025860404777738,jointly_supported_predeclared_sequences
300,5,64,64,0,4.946056730416349e-05,0.36190236848895674,jointly_supported_predeclared_sequences
300,6,64,64,0,5.9548097542034535e-05,0.5514982714261311,jointly_supported_predeclared_sequences
300,7,64,64,0,6.219409672669558e-05,0.6158940821021403,jointly_supported_predeclared_sequences
300,8,64,64,0,6.869739484898877e-05,0.49413124374440914,jointly_supported_predeclared_sequences
300,9,64,64,0,9.50472151368591e-05,0.640383843548791,jointly_supported_predeclared_sequences
300,10,64,64,0,5.292045463705523e-05,0.45861166643782025,jointly_supported_predeclared_sequences
300,11,64,64,0,2.7439255326493143e-05,0.2894343439889769,jointly_supported_predeclared_sequences
300,12,64,64,0,6.558006766170102e-05,0.4490323671298756,jointly_supported_predeclared_sequences
300,13,64,64,0,3.325410370923333e-05,0.3004817912454282,jointly_supported_predeclared_sequences
300,14,64,64,0,6.719032647093943e-05,0.5029594109993925,jointly_supported_predeclared_sequences
300,15,64,64,0,0.00012093415741643429,0.576564753397713,jointly_supported_predeclared_sequences
350,1,64,64,0,5.557152916051631e-05,0.565609442603366,jointly_supported_predeclared_sequences
350,2,64,64,0,4.4703786881209824e-05,0.43623939154217384,jointly_supported_predeclared_sequences
350,3,64,64,0,5.251420528057508e-05,0.47267201081972887,jointly_supported_predeclared_sequences
350,4,64,64,0,4.851952993399444e-05,0.43343787362301384,jointly_supported_predeclared_sequences
350,5,64,64,0,4.7058351581452105e-05,0.46997220379543975,jointly_supported_predeclared_sequences
350,6,64,64,0,3.4183525886396395e-05,0.34062584755600633,jointly_supported_predeclared_sequences
350,7,64,64,0,4.697945326086387e-05,0.450147834852379,jointly_supported_predeclared_sequences
350,8,64,64,0,3.779396029509924e-05,0.47042712977621115,jointly_supported_predeclared_sequences
350,9,64,64,0,5.712414651899274e-05,0.4593877305863142,jointly_supported_predeclared_sequences
350,10,64,64,0,6.231828451779815e-05,0.5344962637539397,jointly_supported_predeclared_sequences
350,11,64,64,0,4.1152696530961694e-05,0.3745715167182032,jointly_supported_predeclared_sequences
350,12,64,64,0,7.091045308828999e-05,0.5036295697588857,jointly_supported_predeclared_sequences
350,13,64,64,0,7.13346717930184e-05,0.4815675574370173,jointly_supported_predeclared_sequences
350,14,64,64,0,9.027113874276103e-05,0.4993084680288359,jointly_supported_predeclared_sequences
350,15,64,64,0,7.026388062548123e-05,0.48782667388299233,jointly_supported_predeclared_sequences
400,1,64,64,0,6.63524906996628e-05,0.6001135547258124,jointly_supported_predeclared_sequences
400,2,64,64,0,4.037622188482255e-05,0.37433680551281434,jointly_supported_predeclared_sequences
400,3,64,64,0,4.78280763928697e-05,0.503496500224792,jointly_supported_predeclared_sequences
400,4,64,64,0,3.809851205234924e-05,0.3897179421317027,jointly_supported_predeclared_sequences
400,5,64,64,0,6.929819941373214e-05,0.6237457276786691,jointly_supported_predeclared_sequences
400,6,64,64,0,4.116105301584154e-05,0.4548992447553718,jointly_supported_predeclared_sequences
400,7,64,64,0,3.64430781207615e-05,0.39879950306443707,jointly_supported_predeclared_sequences
400,8,64,64,0,8.311827832678959e-06,0.10829391664312975,jointly_supported_predeclared_sequences
400,9,64,64,0,7.430623742547796e-05,0.6177436196943592,jointly_supported_predeclared_sequences
400,10,64,64,0,8.500477864412998e-05,0.6003998759422564,jointly_supported_predeclared_sequences
400,11,64,64,0,4.487002084442827e-05,0.344493834758306,jointly_supported_predeclared_sequences
400,12,64,64,0,5.399335139323215e-05,0.4938554204238175,jointly_supported_predeclared_sequences
400,13,64,64,0,6.47047060501636e-05,0.48043621471022024,jointly_supported_predeclared_sequences
400,14,64,64,0,7.179291867254985e-05,0.5635346186883237,jointly_supported_predeclared_sequences
400,15,64,64,0,7.11527433967436e-05,0.5436333169739597,jointly_supported_predeclared_sequences
