duration_us,image_q,predeclared_sequence_count,joint_supported_count,joint_unsupported_count,eta_rho_sample_covariance,eta_rho_sample_correlation,conditioning
25,1,64,64,0,0.0,,jointly_supported_predeclared_sequences
25,2,64,64,0,0.002033864491068065,0.6229458884835116,jointly_supported_predeclared_sequences
25,3,64,64,0,0.0011112354530652753,0.43182427798623374,jointly_supported_predeclared_sequences
25,4,64,64,0,0.0009628632435444283,0.3697847722387228,jointly_supported_predeclared_sequences
25,5,64,64,0,0.0010266607614227209,0.4066477479827247,jointly_supported_predeclared_sequences
25,6,64,64,0,0.001584018506738993,0.5117810085911663,jointly_supported_predeclared_sequences
25,7,64,64,0,0.0013716831057914056,0.5239358112901825,jointly_supported_predeclared_sequences
25,8,64,64,0,0.0015139303329420187,0.4827125423349031,jointly_supported_predeclared_sequences
25,9,64,64,0,0.0010744202703808238,0.43947702948314976,jointly_supported_predeclared_sequences
25,10,64,64,0,0.002019433511698849,0.6191238815771615,jointly_supported_predeclared_sequences
25,11,64,64,0,0.0007935333207726693,0.31681400298838935,jointly_supported_predeclared_sequences
25,12,64,64,0,0.0011988561507680466,0.47762167127326693,jointly_supported_predeclared_sequences
25,13,64,64,0,0.001486851268809922,0.38612921266565237,jointly_supported_predeclared_sequences
25,14,64,64,0,0.0017422426784006763,0.5709421059494711,jointly_supported_predeclared_sequences
25,15,64,64,0,0.0007290953006057161,0.3022082211525857,jointly_supported_predeclared_sequences
100,1,64,64,0,0.0,,jointly_supported_predeclared_sequences
100,2,64,64,0,0.00025047775081743474,0.3789196775563664,jointly_supported_predeclared_sequences
100,3,64,64,0,0.00023629389335983912,0.3638340878181096,jointly_supported_predeclared_sequences
100,4,64,64,0,0.00017328382396726398,0.3318883927267241,jointly_supported_predeclared_sequences
100,5,64,64,0,0.0002988113371112862,0.5634029771248888,jointly_supported_predeclared_sequences
100,6,64,64,0,0.00013851600856881128,0.24430914271654566,jointly_supported_predeclared_sequences
100,7,64,64,0,0.0001702622646282381,0.2629472440701539,jointly_supported_predeclared_sequences
100,8,64,64,0,0.00014664771628085182,0.3089767566657293,jointly_supported_predeclared_sequences
100,9,64,64,0,0.00018779636821170863,0.38780744427903463,jointly_supported_predeclared_sequences
100,10,64,64,0,0.00030882968019295697,0.39299493613043296,jointly_supported_predeclared_sequences
100,11,64,64,0,0.00037804840002700975,0.5656856269206221,jointly_supported_predeclared_sequences
100,12,64,64,0,0.0003245609623052562,0.46853236896278444,jointly_supported_predeclared_sequences
100,13,64,64,0,0.00026799171052689283,0.37550023812101146,jointly_supported_predeclared_sequences
100,14,64,64,0,0.0002880039974975006,0.43427631415408957,jointly_supported_predeclared_sequences
100,15,64,64,0,0.0001862614165345628,0.2834212232930173,jointly_supported_predeclared_sequences
150,1,64,64,0,0.0,,jointly_supported_predeclared_sequences
150,2,64,64,0,0.00019501608764619272,0.4405941593159728,jointly_supported_predeclared_sequences
150,3,64,64,0,0.00013508385252293355,0.3215731237298998,jointly_supported_predeclared_sequences
150,4,64,64,0,0.00020260524016570822,0.44542698994845686,jointly_supported_predeclared_sequences
150,5,64,64,0,0.00022184780362282628,0.4882694752401034,jointly_supported_predeclared_sequences
150,6,64,64,0,0.00016908367725880562,0.3667735377685417,jointly_supported_predeclared_sequences
150,7,64,64,0,0.0002996004719834629,0.5802328575527604,jointly_supported_predeclared_sequences
150,8,64,64,0,0.0002394166311719367,0.541717131366976,jointly_supported_predeclared_sequences
150,9,64,64,0,0.000290279309935957,0.533279468548501,jointly_supported_predeclared_sequences
150,10,64,64,0,0.00013903971470335697,0.3436144158112096,jointly_supported_predeclared_sequences
150,11,64,64,0,0.0002586438909491428,0.48529282443355537,jointly_supported_predeclared_sequences
