duration_us,draw_id,image_q,delta_eta_q_given_1,delta_rho_y_q_given_1,truth_delta_eta_q_given_1,truth_delta_rho_y_q_given_1,eta_pair_supported,rho_y_pair_supported,eta_pair_reason,rho_y_pair_reason
25,0,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,0,2,0.07409053051514036,0.0650360454197012,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,0,3,0.001265097622373923,-0.0035569781021396185,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,0,4,-0.010530864992828737,-0.05744097145229865,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,0,5,0.030887259762070296,-0.024358255508653004,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,0,6,-0.06391302433693857,-0.02120730633802237,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,0,7,0.01088524222948184,0.07141841551296912,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,0,8,-0.018170075164926747,0.05707011149294838,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,0,9,0.030144528699157402,0.02386687517963937,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,0,10,-0.04776463101459927,-0.09385484100068908,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,0,11,0.059739498116668455,0.019862027915593883,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,0,12,-0.02371471607563813,-0.015034300788773658,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,0,13,-0.034143245494706154,-0.029660730842424265,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,0,14,-0.007829618118762371,-0.05917658180005525,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,0,15,-0.06554509221396576,-0.07879983403306212,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,1,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,1,2,-0.022781501893879508,0.010506988358075287,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,1,3,-0.020599482199314068,0.008331917727911087,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,1,4,-0.07349992860502041,-0.022318427131803098,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,1,5,-0.057569696282378735,-0.040533534036969465,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,1,6,-0.06135153353761702,-0.06056388527891543,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,1,7,-0.1272439056067015,-0.04629254745181377,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,1,8,-0.06379258054015269,-0.07689985466949412,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,1,9,-0.0992043331298943,-0.06660817668951069,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,1,10,-0.031321908892425476,0.04164387813111481,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,1,11,-0.04530062228904996,-0.04004356780495655,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,1,12,-0.058254860614488924,-0.05005213064337555,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,1,13,-0.07118153865723265,-0.050379326912579625,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,1,14,-0.015211292583488412,-0.00821670405682795,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,1,15,-0.10311807874590584,-0.021222981994617474,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,2,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,2,2,-0.08357709092615961,-0.08533767767780986,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,2,3,-0.02549043832047726,0.015088685770501487,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,2,4,-0.09545348811198717,-0.09499328602016233,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,2,5,-0.027242193280305305,-0.028074162014679382,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,2,6,-0.14514528597467335,-0.07679631640658413,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,2,7,-0.05544585007488534,-0.08837053594311695,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,2,8,-0.049904061887929174,-0.07742603109899082,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,2,9,-0.0660649430497684,-0.09643911047043618,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,2,10,-0.13143249611121566,-0.10317339363586175,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,2,11,-0.14434589464114023,-0.07013574560327585,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,2,12,-0.07491151472080226,-0.024841109115211646,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,2,13,-0.18062845744150646,-0.10680875047382499,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,2,14,-0.12055455921512515,-0.1127041216883532,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,2,15,-0.10364826957704187,-0.057398140632199834,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,3,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,3,2,0.0005446076645273523,-0.04128716156061929,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,3,3,0.005491890808773436,0.07229695167231709,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,3,4,0.04468352484805227,-0.032831832098069835,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,3,5,-0.0174793547745703,-0.059112810445827724,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,3,6,-0.06014037161344388,-0.035074130201194875,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
