duration_us,method,draw_id,role,image_q,seed
25,dpfi,0,blank_h,0,20260818:4515:25:2:0:3:0
25,dpfi,0,blank_v,0,20260818:4515:25:2:0:4:0
25,dpfi,0,dark_h,0,20260818:4515:25:2:0:5:0
25,dpfi,0,dark_v,0,20260818:4515:25:2:0:6:0
25,dpfi,0,atom_h,1,20260818:4515:25:2:0:1:1
25,dpfi,0,atom_v,1,20260818:4515:25:2:0:2:1
25,dpfi,0,atom_h,2,20260818:4515:25:2:0:1:2
25,dpfi,0,atom_v,2,20260818:4515:25:2:0:2:2
25,dpfi,0,atom_h,3,20260818:4515:25:2:0:1:3
25,dpfi,0,atom_v,3,20260818:4515:25:2:0:2:3
25,dpfi,0,atom_h,4,20260818:4515:25:2:0:1:4
25,dpfi,0,atom_v,4,20260818:4515:25:2:0:2:4
25,dpfi,0,atom_h,5,20260818:4515:25:2:0:1:5
25,dpfi,0,atom_v,5,20260818:4515:25:2:0:2:5
25,dpfi,0,atom_h,6,20260818:4515:25:2:0:1:6
25,dpfi,0,atom_v,6,20260818:4515:25:2:0:2:6
25,dpfi,0,atom_h,7,20260818:4515:25:2:0:1:7
25,dpfi,0,atom_v,7,20260818:4515:25:2:0:2:7
25,dpfi,0,atom_h,8,20260818:4515:25:2:0:1:8
25,dpfi,0,atom_v,8,20260818:4515:25:2:0:2:8
25,dpfi,0,atom_h,9,20260818:4515:25:2:0:1:9
25,dpfi,0,atom_v,9,20260818:4515:25:2:0:2:9
25,dpfi,0,atom_h,10,20260818:4515:25:2:0:1:10
25,dpfi,0,atom_v,10,20260818:4515:25:2:0:2:10
25,dpfi,0,atom_h,11,20260818:4515:25:2:0:1:11
25,dpfi,0,atom_v,11,20260818:4515:25:2:0:2:11
25,dpfi,0,atom_h,12,20260818:4515:25:2:0:1:12
25,dpfi,0,atom_v,12,20260818:4515:25:2:0:2:12
25,dpfi,0,atom_h,13,20260818:4515:25:2:0:1:13
25,dpfi,0,atom_v,13,20260818:4515:25:2:0:2:13
25,dpfi,0,atom_h,14,20260818:4515:25:2:0:1:14
25,dpfi,0,atom_v,14,20260818:4515:25:2:0:2:14
25,dpfi,0,atom_h,15,20260818:4515:25:2:0:1:15
25,dpfi,0,atom_v,15,20260818:4515:25:2:0:2:15
25,dpfi,1,blank_h,0,20260818:4515:25:2:1:3:0
25,dpfi,1,blank_v,0,20260818:4515:25:2:1:4:0
25,dpfi,1,dark_h,0,20260818:4515:25:2:1:5:0
25,dpfi,1,dark_v,0,20260818:4515:25:2:1:6:0
25,dpfi,1,atom_h,1,20260818:4515:25:2:1:1:1
25,dpfi,1,atom_v,1,20260818:4515:25:2:1:2:1
25,dpfi,1,atom_h,2,20260818:4515:25:2:1:1:2
25,dpfi,1,atom_v,2,20260818:4515:25:2:1:2:2
25,dpfi,1,atom_h,3,20260818:4515:25:2:1:1:3
25,dpfi,1,atom_v,3,20260818:4515:25:2:1:2:3
25,dpfi,1,atom_h,4,20260818:4515:25:2:1:1:4
