method,state,display_label,duration_us,whole_image_snr,scattered_photons_per_atom,deposited_recoil_energy_j_per_atom
dgi,connected_modulated,SSP,25,25.291394803813894,0.0008372038653321885,8.292726675843851e-33
dgi,separated_droplets,ID,25,23.770658698698366,0.0008372038653321885,8.292726675843851e-33
dgi,connected_modulated,SSP,50,36.564720219565736,0.001674407730664377,1.6585453351687702e-32
dgi,separated_droplets,ID,50,34.37397586982964,0.001674407730664377,1.6585453351687702e-32
dgi,connected_modulated,SSP,100,52.38766749643089,0.003348815461328754,3.3170906703375404e-32
dgi,separated_droplets,ID,100,49.257911500954656,0.003348815461328754,3.3170906703375404e-32
dgi,connected_modulated,SSP,200,74.64819918105336,0.006697630922657508,6.634181340675081e-32
dgi,separated_droplets,ID,200,70.19309152671886,0.006697630922657508,6.634181340675081e-32
dgi,connected_modulated,SSP,400,106.01995142863935,0.013395261845315016,1.3268362681350162e-31
dgi,separated_droplets,ID,400,99.69465101762289,0.013395261845315016,1.3268362681350162e-31
