method,state,display_label,duration_us,observable,unit,truth,draw_count,mean,median,q16,q84,empirical_sd,bias
dgi,connected_modulated,SSP,25,eta,ratio,1.0,64,1.009225766373532,1.0139474221758022,0.7852522259753295,1.2374004382931323,0.20416040116072004,0.009225766373532007
dgi,connected_modulated,SSP,25,d_peak,um,2.751540046488,64,2.7426932415065544,2.7413771135455,2.7033187443156397,2.78261692489134,0.04110313618984473,-0.008846804981445633
dgi,connected_modulated,SSP,25,nu_vp,ratio,0.6494770333465083,64,0.6405165400415698,0.6357379183946268,0.5958136768644248,0.6986266658447607,0.057941422825033895,-0.008960493304938533
dgi,connected_modulated,SSP,50,eta,ratio,1.0,64,1.004167278869235,1.0098636191097814,0.8394467754365778,1.1305484048888443,0.14390112435924388,0.004167278869235069
dgi,connected_modulated,SSP,50,d_peak,um,2.751540046488,64,2.7512740055263514,2.7565718532327503,2.71668166304744,2.78232822796182,0.03141868009395794,-0.000266040961648617
dgi,connected_modulated,SSP,50,nu_vp,ratio,0.6494770333465083,64,0.6483659549218193,0.6485393423431399,0.6199735939804313,0.6744851082902805,0.03207382537169548,-0.0011110784246890493
dgi,connected_modulated,SSP,100,eta,ratio,1.0,64,0.9943902171411043,1.0092063446485229,0.8820942474371261,1.1180952215639282,0.11024531090498005,-0.005609782858895684
dgi,connected_modulated,SSP,100,d_peak,um,2.751540046488,64,2.7451728375949216,2.7463088326152496,2.72463323105006,2.76221128164584,0.022704661968157108,-0.006367208893078402
dgi,connected_modulated,SSP,100,nu_vp,ratio,0.6494770333465083,64,0.649265344859559,0.6488486440161526,0.6296194320952101,0.6728215571848619,0.02197340254766735,-0.00021168848694930187
dgi,connected_modulated,SSP,200,eta,ratio,1.0,64,1.0088886014174454,1.010966961976333,0.929360080253877,1.089827073756537,0.08120314867577931,0.008888601417445408
dgi,connected_modulated,SSP,200,d_peak,um,2.751540046488,64,2.7521691470551874,2.75036896035525,2.74172994283406,2.7674626975112804,0.012588940537752783,0.0006291005671874572
dgi,connected_modulated,SSP,200,nu_vp,ratio,0.6494770333465083,64,0.6491579542041268,0.6499505161453092,0.6317359620334803,0.6665971917748422,0.016682649782216053,-0.0003190791423814954
