method,state,display_label,duration_us,draw_count,nuisance_censored_count,d_peak_supported_count,nu_vp_supported_count
dgi,connected_modulated,SSP,25,64,8,56,55
dgi,connected_modulated,SSP,50,64,5,59,59
dgi,connected_modulated,SSP,100,64,0,64,64
dgi,connected_modulated,SSP,200,64,0,64,64
dgi,connected_modulated,SSP,400,64,0,64,64
dgi,separated_droplets,ID,25,64,0,64,63
dgi,separated_droplets,ID,50,64,0,64,64
dgi,separated_droplets,ID,100,64,0,64,64
dgi,separated_droplets,ID,200,64,0,63,64
dgi,separated_droplets,ID,400,64,0,64,64
dpfi,connected_modulated,SSP,25,64,0,63,64
dpfi,connected_modulated,SSP,50,64,0,63,63
dpfi,connected_modulated,SSP,100,64,0,64,64
dpfi,connected_modulated,SSP,200,64,0,64,64
dpfi,connected_modulated,SSP,400,64,0,64,64
dpfi,separated_droplets,ID,25,64,0,63,63
dpfi,separated_droplets,ID,50,64,0,64,64
dpfi,separated_droplets,ID,100,64,0,64,64
dpfi,separated_droplets,ID,200,64,0,64,64
dpfi,separated_droplets,ID,400,64,0,64,64
