method,duration_us,state,draw_id,role,role_id,frame_id,seed_tuple
dgi,25,connected_modulated,0,atom_stop,1,1,20260818;5301;25;1;1;0;1;1
dgi,25,connected_modulated,0,leakage_stop,2,0,20260818;5301;25;1;1;0;2;0
dgi,25,connected_modulated,0,stop_dark,3,0,20260818;5301;25;1;1;0;3;0
dgi,25,connected_modulated,0,open_reference,4,0,20260818;5301;25;1;1;0;4;0
dgi,25,connected_modulated,0,open_dark,5,0,20260818;5301;25;1;1;0;5;0
dgi,25,connected_modulated,1,atom_stop,1,1,20260818;5301;25;1;1;1;1;1
dgi,25,connected_modulated,1,leakage_stop,2,0,20260818;5301;25;1;1;1;2;0
dgi,25,connected_modulated,1,stop_dark,3,0,20260818;5301;25;1;1;1;3;0
dgi,25,connected_modulated,1,open_reference,4,0,20260818;5301;25;1;1;1;4;0
dgi,25,connected_modulated,1,open_dark,5,0,20260818;5301;25;1;1;1;5;0
dgi,25,connected_modulated,2,atom_stop,1,1,20260818;5301;25;1;1;2;1;1
dgi,25,connected_modulated,2,leakage_stop,2,0,20260818;5301;25;1;1;2;2;0
dgi,25,connected_modulated,2,stop_dark,3,0,20260818;5301;25;1;1;2;3;0
dgi,25,connected_modulated,2,open_reference,4,0,20260818;5301;25;1;1;2;4;0
dgi,25,connected_modulated,2,open_dark,5,0,20260818;5301;25;1;1;2;5;0
dgi,25,connected_modulated,3,atom_stop,1,1,20260818;5301;25;1;1;3;1;1
dgi,25,connected_modulated,3,leakage_stop,2,0,20260818;5301;25;1;1;3;2;0
dgi,25,connected_modulated,3,stop_dark,3,0,20260818;5301;25;1;1;3;3;0
dgi,25,connected_modulated,3,open_reference,4,0,20260818;5301;25;1;1;3;4;0
dgi,25,connected_modulated,3,open_dark,5,0,20260818;5301;25;1;1;3;5;0
dgi,25,connected_modulated,4,atom_stop,1,1,20260818;5301;25;1;1;4;1;1
dgi,25,connected_modulated,4,leakage_stop,2,0,20260818;5301;25;1;1;4;2;0
dgi,25,connected_modulated,4,stop_dark,3,0,20260818;5301;25;1;1;4;3;0
dgi,25,connected_modulated,4,open_reference,4,0,20260818;5301;25;1;1;4;4;0
dgi,25,connected_modulated,4,open_dark,5,0,20260818;5301;25;1;1;4;5;0
dgi,25,connected_modulated,5,atom_stop,1,1,20260818;5301;25;1;1;5;1;1
dgi,25,connected_modulated,5,leakage_stop,2,0,20260818;5301;25;1;1;5;2;0
dgi,25,connected_modulated,5,stop_dark,3,0,20260818;5301;25;1;1;5;3;0
dgi,25,connected_modulated,5,open_reference,4,0,20260818;5301;25;1;1;5;4;0
dgi,25,connected_modulated,5,open_dark,5,0,20260818;5301;25;1;1;5;5;0
dgi,25,connected_modulated,6,atom_stop,1,1,20260818;5301;25;1;1;6;1;1
dgi,25,connected_modulated,6,leakage_stop,2,0,20260818;5301;25;1;1;6;2;0
dgi,25,connected_modulated,6,stop_dark,3,0,20260818;5301;25;1;1;6;3;0
dgi,25,connected_modulated,6,open_reference,4,0,20260818;5301;25;1;1;6;4;0
