draw_id,state,duration_us,start_id,start_eta,start_d_um,start_sigma_y_um,start_y0_um,optimizer_success,finite,converged,termination_status,termination_message,nfev_total,nfev_by_irls_pass_json,raw_objective,reduced_raw_objective,maximum_absolute_whitened_residual,eta_hat,d_hat_um,sigma_y_hat_um,y0_hat_um,active_physical_bounds,active_nuisance_bounds,fit_vector_json,runtime_seconds,jacobian_rank,jacobian_condition,morphology_rank_after_y0_and_nuisance_projection,morphology_projected_singular_values_json,physical_censored,nuisance_censored,topology_valid,d_peak_um,nu_vp,d_peak_conditional_sd_um,nu_vp_conditional_sd,d_peak_supported_local,nu_vp_supported_local
0,connected_modulated,25,0,1.0,2.8,0.75,0.0,true,true,true,2,`ftol` termination condition is satisfied.,11,"[7,4]",5950.03561472372,0.9859213943204176,3.886603157637627,0.7841613031059346,2.8280525804425345,0.9219069427266423,-0.05777239767916757,0,2,"[-0.24314053603650387,1.0395883406629443,-0.08131099031686592,-0.05777239767916757,0.9982310269898949,0.010723508527744645,1.2243748817433697e-17,1.4999999987806472]",7.538323400003719,8,2007.008329679518,3,"[67.62622253346146,42.06954360210557,3.615880942689823]",false,true,true,2.7934664017679998,0.603511563371187,0.03940611561040615,0.050060234191744366,false,false
0,connected_modulated,25,1,0.6,2.2,0.4,0.0,true,true,true,2,`ftol` termination condition is satisfied.,13,"[7,6]",5950.069427378223,0.98592699708007,3.886775148367208,0.7845736423468412,2.829369198372956,0.9248624117725465,-0.059422722786130526,0,1,"[-0.24261483951702753,1.0400537887082435,-0.0781102965628816,-0.059422722786130526,0.9982302490740902,0.010690793839650365,3.390412042020535e-27,1.4999970628583625]",8.690863799994986,8,2038.789126302514,3,"[68.10039518831634,42.77822551520774,3.5638411341425917]",false,false,true,2.793786757773,0.607163451989825,0.03896208505798693,0.049981752953273326,true,true
0,connected_modulated,25,2,1.3,3.4,1.15,0.0,true,true,true,2,`ftol` termination condition is satisfied.,14,"[11,3]",5950.05113518214,0.9859239660616635,3.8866864937707395,0.7843632031788748,2.82867958247759,0.9232435011801895,-0.05836336844543799,0,1,"[-0.24288309654703932,1.0398100241436412,-0.07986226434254158,-0.05836336844543799,0.998230624700772,0.010707653759356261,1.2546444643204155e-17,1.4999996208036166]",9.310840999998618,8,2016.05775475772,3,"[67.82016172515861,42.298814699685465,3.598185507010099]",false,false,true,2.7936490797394997,0.605150295268824,0.039280749107798114,0.049972552368217835,true,true
0,connected_modulated,25,3,0.8,3.2,0.55,0.8,true,true,true,2,`ftol` termination condition is satisfied.,21,"[17,4]",5950.231795416428,0.9859539014774529,3.8868878438362824,0.7846182826691175,2.82953766903871,0.9240657011595987,-0.054582848981906934,0,1,"[-0.24255794358023777,1.040113330478324,-0.07897210471722342,-0.054582848981906934,0.9982298156939815,0.010669377702122408,8.529165459319306e-18,1.4999886244809426]",13.43802929999947,8,2012.5283695632943,3,"[66.0406903178286,40.78975064057093,3.608705557922889]",false,false,true,2.794285950485,0.6059337722214735,0.04061419546647199,0.05075919148804239,true,true
0,connected_modulated,25,4,1.2,2.4,1.0,-0.8,true,true,true,2,`ftol` termination condition is satisfied.,13,"[9,4]",5949.988204212647,0.9859135383948049,3.8866829940718897,0.7844794813080465,2.829049985068501,0.9245449637109163,-0.061196230798330836,0,2,"[-0.24273486227150062,1.0399409609751098,-0.07845359363085715,-0.061196230798330836,0.9982306311555262,0.010708318578372166,8.094467801027037e-21,1.499999997598409]",8.337738299997,8,2035.785050010598,3,"[69.08614889785781,43.46935042624841,3.567482469338915]",false,true,true,2.7935550574845003,0.606855898489984,0.03836212099591862,0.049510484228564064,false,false
1,connected_modulated,25,0,1.0,2.8,0.75,0.0,true,true,true,2,`ftol` termination condition is satisfied.,17,"[12,5]",6136.341311561069,1.016792263721801,4.715121603331029,0.9505978755809105,2.8436823446223696,0.9459815437136506,0.04003240144474581,0,2,"[-0.05066414962388109,1.0450998125320916,-0.05553221993701467,0.04003240144474581,0.9918719688901049,1.7722078500034203e-19,8.563123481941372e-22,1.0991532046372123]",11.597125399996003,8,999.443658144798,3,"[64.39738478777511,40.13903691193217,5.200138129878196]",false,false,true,2.801008833668,0.6304628069633904,0.041905401381004334,0.05151289612387501,true,true
1,connected_modulated,25,1,0.6,2.2,0.4,0.0,true,true,true,2,`ftol` termination condition is satisfied.,13,"[8,5]",6136.453436825448,1.016810842887398,4.715121603331029,0.9571946343290691,2.8434225719929294,0.9456369717031304,0.0413777166654795,0,2,"[-0.043748528553821144,1.0450084575690903,-0.05589653442381317,0.0413777166654795,0.991872030857498,6.250000000000102e-20,4.0277512309599782e-19,1.0866618585889387]",8.266540899996471,8,976.6080459284585,3,"[64.90303468281878,40.87907774577019,5.252373387270619]",false,false,true,2.8008688815335,0.6301017129769784,0.041338495711802176,0.051600978835372124,true,true
1,connected_modulated,25,2,1.3,3.4,1.15,0.0,true,true,true,2,`ftol` termination condition is satisfied.,16,"[11,5]",6136.244876510059,1.016776284425859,4.715121603331029,0.9474344795120138,2.8443576464266647,0.9474017967240483,0.040855842971878366,0,2,"[-0.05399749532739352,1.0453372587555818,-0.054031992015448845,0.040855842971878366,0.9918721178594734,6.250000000000102e-20,3.8914010019902855e-19,1.1054147150652065]",10.461635699997714,8,1016.9831338622438,3,"[64.60337003336323,40.507397554948184,5.144612060824912]",false,false,true,2.8011339376690003,0.6321325514896255,0.04176583590501218,0.05141968006173598,true,true
1,connected_modulated,25,3,0.8,3.2,0.55,0.8,true,true,true,2,`ftol` termination condition is satisfied.,14,"[8,6]",6136.332344690412,1.0167907779105902,4.715121603331029,0.9522999548111107,2.8439937618091027,0.9467858479239377,0.041017191007458424,0,2,"[-0.04887521523450503,1.0452093184818738,-0.054682348724892485,0.041017191007458424,0.9918721686312718,3.1250000000001037e-22,1.3187614339710178e-20,1.0960638122739559]",8.942794300004607,8,988.9045166532062,3,"[65.34337485179535,41.16756685552981,5.239824963872405]",false,false,true,2.8009997002075,0.6314419278976662,0.041108714277800704,0.051227398878594746,true,true
1,connected_modulated,25,4,1.2,2.4,1.0,-0.8,true,true,true,2,`ftol` termination condition is satisfied.,30,"[19,11]",6136.350689806704,1.0167938176978797,4.715121603331029,0.9492551499793329,2.84348403934422,0.9454981772829771,0.03937637974412504,0,2,"[-0.052077654570922914,1.0450300747172145,-0.05604331866657539,0.03937637974412504,0.9918719557520927,2.0425363330476963e-28,1.3763416998648262e-30,1.1015748637994012]",19.692646099996637,8,1009.1703904894562,3,"[63.970772684428255,39.6297018554904,5.1614861282834]",false,false,true,2.801000810969,0.629878908140336,0.042294830532872175,0.05170626832157122,true,true
