draw_id,state,duration_us,start_id,start_eta,start_d_um,start_sigma_y_um,start_y0_um,optimizer_success,finite,converged,termination_status,termination_message,nfev_total,nfev_by_irls_pass_json,raw_objective,reduced_raw_objective,maximum_absolute_whitened_residual,eta_hat,d_hat_um,sigma_y_hat_um,y0_hat_um,active_physical_bounds,active_nuisance_bounds,fit_vector_json,runtime_seconds,jacobian_rank,jacobian_condition,morphology_rank_after_y0_and_nuisance_projection,morphology_projected_singular_values_json,physical_censored,nuisance_censored,topology_valid,d_peak_um,nu_vp,d_peak_conditional_sd_um,nu_vp_conditional_sd,d_peak_supported_local,nu_vp_supported_local
0,connected_modulated,25,0,1.0,2.8,0.75,0.0,true,true,true,2,`ftol` termination condition is satisfied.,10,"[7,3]",7071.289783787584,0.9764277525252119,4.4826382563446865,1.0054149853659653,2.846585229495829,0.9454057838165818,-0.09986578109761683,0,0,"[0.005400377044876644,1.0461201108177085,-0.05614104279045446,-0.09986578109761683,0.9998989036273284,0.997811460923698,0.02484171937526462,0.01597229431143639]",46.38098449999234,8,32.68769938825195,3,"[55.53801818266286,46.457069229272186,30.908787116455738]",false,false,true,2.8045567168765,0.6283068056267069,0.05545714928351065,0.06179983864170813,true,true
0,connected_modulated,25,1,0.6,2.2,0.4,0.0,true,true,true,2,`ftol` termination condition is satisfied.,13,"[9,4]",7070.951803238579,0.9763810830210685,4.482576274364424,1.006310988666273,2.8457537230184533,0.9433761138397151,-0.0995702004306046,0,0,"[0.006291157768614429,1.0458279614955313,-0.05829022768113797,-0.0995702004306046,0.9998947815551041,0.997814645235375,0.025051795232868473,0.015974793807995068]",64.73563689998991,8,32.46368048320121,3,"[56.19383203959606,46.89113317402861,31.12004455820544]",false,false,true,2.8045103096175,0.6258467040637289,0.05470643097021996,0.06117369994487585,true,true
0,connected_modulated,25,2,1.3,3.4,1.15,0.0,true,true,true,2,`ftol` termination condition is satisfied.,9,"[6,3]",7071.328979166637,0.9764331647565088,4.482654633775393,1.0050905497403253,2.8465801091812417,0.9459795854493205,-0.0997064682695257,0,0,"[0.005077636696450671,1.0461183120592734,-0.05553429002640497,-0.0997064682695257,0.9998985042307436,0.9978084080080476,0.024807547371498193,0.01597263682306092]",42.7921309999947,8,32.77660102877565,3,"[55.37516047638866,46.22233266485576,30.826724731083722]",false,false,true,2.8042956070805003,0.6291124122385408,0.055769989338594686,0.06201840178930059,true,true
0,connected_modulated,25,3,0.8,3.2,0.55,0.8,true,true,true,2,`ftol` termination condition is satisfied.,13,"[9,4]",7071.340946238508,0.9764348172105093,4.48270036493159,1.0042992277146898,2.8463739321730395,0.9468355509709825,-0.09861758211670199,0,0,"[0.00429001243815888,1.0460458797133263,-0.05462985349317908,-0.09861758211670199,0.9998937552370212,0.9978027136088581,0.02476421152881419,0.015975923345540897]",63.95759820000967,8,33.11999189250012,3,"[54.84687509448799,45.109135017699835,30.500221381233565]",false,false,true,2.80367862704,0.6304049998718563,0.05701919098137771,0.06288400884131724,true,true
0,connected_modulated,25,4,1.2,2.4,1.0,-0.8,true,true,true,2,`ftol` termination condition is satisfied.,11,"[7,4]",7071.103363784485,0.9764020110169132,4.482531488536734,1.0061367534715087,2.84575949129125,0.9440914369708495,-0.10030811581490011,0,0,"[0.006118000283278026,1.0458299884688789,-0.05753225632944554,-0.10030811581490011,0.9999081241296065,0.9978050472940859,0.024969658032714167,0.015975025911776863]",53.52832969999872,8,32.70609743474313,3,"[54.70820109283934,47.15199305905006,30.895155657197556]",false,false,true,2.8042029117530003,0.6268484515543883,0.055194409215083784,0.062134193529887395,true,true
1,connected_modulated,25,0,1.0,2.8,0.75,0.0,true,true,true,2,`ftol` termination condition is satisfied.,10,"[6,4]",7040.023930882206,0.9721104571778798,4.209236779007371,1.0178624549434434,2.7786532675191475,0.8639054375744866,0.03898271438234089,0,2,"[0.01770479597758667,1.021966374181256,-0.14629196341962064,0.03898271438234089,1.0028083586249121,1.0022565558585839,1.2500000000000105e-17,6.388178648009183e-17]",71.15522199998668,8,30.295192363162293,3,"[57.28701309580768,48.41006398400986,34.11446777087502]",false,false,true,2.7580628526310003,0.5399304750573208,0.04652982443213801,0.05619822829577674,true,true
1,connected_modulated,25,1,0.6,2.2,0.4,0.0,true,true,true,2,`ftol` termination condition is satisfied.,13,"[9,4]",7040.117558753432,0.9721233856328958,4.20922101708082,1.0182300213612117,2.7774881302340977,0.8644152944281573,0.04049300727366535,0,2,"[0.018065846790394774,1.0215469689794372,-0.14570196081302086,0.04049300727366535,1.0028111011209395,1.0022518756311063,1.2500000000000105e-17,8.662854688107024e-17]",81.68759099999443,8,30.402126479000188,3,"[56.85507126719644,49.39353591600767,33.99704217633057]",false,false,true,2.7566777835935,0.5412874337261508,0.045976321378006564,0.056461906249933407,true,true
1,connected_modulated,25,2,1.3,3.4,1.15,0.0,true,true,true,2,`ftol` termination condition is satisfied.,12,"[7,5]",7040.0692589205055,0.9721167162276313,4.209261056331587,1.0177319695465736,2.777687442888087,0.8654380603570071,0.04019256820809651,0,2,"[0.017576592249497446,1.0216187264428878,-0.14451947208332977,0.04019256820809651,1.0028041345091692,1.0022487371078972,3.3973505303698233e-18,6.250000000000102e-20]",73.93226400000276,8,30.466373244356575,3,"[55.754357234470554,49.189826090117,33.919173101283285]",false,false,true,2.756621551612,0.5427807440663344,0.04660953592876291,0.057035372112296624,true,true
1,connected_modulated,25,3,0.8,3.2,0.55,0.8,true,true,true,2,`ftol` termination condition is satisfied.,14,"[9,5]",7040.130861466436,0.9721252225167683,4.209317442161154,1.0179518526892464,2.7760851695293054,0.8655537822744228,0.03845348896528034,0,2,"[0.01779262102678205,1.0210417228400923,-0.14438576617584017,0.03845348896528034,1.0027943237750099,1.0022635562217996,2.155371869559438e-18,7.262286045555974e-20]",84.65718949999427,8,30.78317917351553,3,"[55.558353030882685,47.81907263418817,33.565911238260306]",false,false,true,2.7548675696695,0.5437363195365377,0.047617938582280965,0.05767451674746288,true,true
1,connected_modulated,25,4,1.2,2.4,1.0,-0.8,true,true,true,2,`ftol` termination condition is satisfied.,13,"[8,5]",7039.92792339066,0.9720972001367937,4.209234030974519,1.0173849603430083,2.779733499107993,0.864185288526285,0.03929051235763382,0,2,"[0.017235570854773865,1.0223550594771158,-0.1459680788572907,0.03929051235763382,1.0028088367682073,1.0022579259527642,1.2876200504655046e-18,4.3830469612282375e-20]",75.61420520000684,8,30.0393822559764,3,"[56.0397070412908,48.44824118598313,34.39135934601125]",false,false,true,2.7591496902765,0.5398433671772305,0.0471611873236625,0.056364898917556715,true,true
