method,state,duration_us,observable,truth,draw_count,supported_count,unsupported_count,competitive_ambiguity_count,old_supported_count,supported_median,supported_q16,supported_q84
dgi,connected_modulated,25,d_peak,2.751540046488,64,56,8,0,56,2.74072882589675,2.7028557154532,2.7767985497995
dgi,connected_modulated,25,nu_vp,0.6494770333465083,64,55,9,1,55,0.6354902107455564,0.5952206475708907,0.6958105818628948
dgi,connected_modulated,50,d_peak,2.751540046488,64,59,5,0,59,2.757089164602,2.72287749632956,2.78204711532512
dgi,connected_modulated,50,nu_vp,0.6494770333465083,64,59,5,0,59,0.6484881569468246,0.6186597175270728,0.6738151428554683
dgi,connected_modulated,100,d_peak,2.751540046488,64,64,0,0,64,2.7463088326152496,2.72463323105006,2.76221128164584
dgi,connected_modulated,100,nu_vp,0.6494770333465083,64,64,0,0,64,0.6488486440161526,0.6296194320952101,0.6728215571848619
dgi,connected_modulated,200,d_peak,2.751540046488,64,64,0,0,64,2.75036896035525,2.74172994283406,2.7674626975112804
dgi,connected_modulated,200,nu_vp,0.6494770333465083,64,64,0,0,64,0.6499505161453092,0.6317359620334803,0.6665971917748422
dgi,connected_modulated,400,d_peak,2.751540046488,64,64,0,0,64,2.75121889579525,2.7407958950685,2.75984375561734
dgi,connected_modulated,400,nu_vp,0.6494770333465083,64,64,0,0,64,0.6484979446171144,0.6381639710617464,0.6599193048388162
dgi,separated_droplets,25,d_peak,2.799987273455,64,64,0,0,64,2.79815612687925,2.77663667013342,2.82512047971608
dgi,separated_droplets,25,nu_vp,0.08736061642362755,64,63,1,1,63,0.09587219799917024,0.07649426366764214,0.11211959054228539
dgi,separated_droplets,50,d_peak,2.799987273455,64,64,0,0,64,2.798384794253,2.7839186277686596,2.8137011017634403
dgi,separated_droplets,50,nu_vp,0.08736061642362755,64,64,0,0,64,0.08602141621344156,0.07765006125390575,0.09990034775554493
dgi,separated_droplets,100,d_peak,2.799987273455,64,64,0,0,64,2.799646044981,2.7917145988385403,2.80904166439812
dgi,separated_droplets,100,nu_vp,0.08736061642362755,64,64,0,0,64,0.08565502692244516,0.07710907799983366,0.09482677769770513
dgi,separated_droplets,200,d_peak,2.799987273455,64,63,1,1,63,2.8010274880784998,2.7914687462269803,2.8068918685070603
dgi,separated_droplets,200,nu_vp,0.08736061642362755,64,64,0,0,64,0.08704203357278621,0.083433072567287,0.09403264583463228
dgi,separated_droplets,400,d_peak,2.799987273455,64,64,0,0,64,2.8000197059142504,2.7958302324372806,2.80488681773638
dgi,separated_droplets,400,nu_vp,0.08736061642362755,64,64,0,0,64,0.08782823776458612,0.08287064242039081,0.09181130213517229
dpfi,connected_modulated,25,d_peak,2.751540046488,64,63,1,1,63,2.7420411437655,2.6882102864307598,2.7845396705459398
dpfi,connected_modulated,25,nu_vp,0.6494770333465083,64,64,0,0,64,0.6604173377125548,0.6094225156308486,0.7170524290556064
dpfi,connected_modulated,50,d_peak,2.751540046488,64,63,1,1,63,2.7514076188045,2.72591018932074,2.78939329478006
dpfi,connected_modulated,50,nu_vp,0.6494770333465083,64,63,1,1,63,0.6507034617159417,0.6124847511638722,0.6790821873623643
dpfi,connected_modulated,100,d_peak,2.751540046488,64,64,0,0,64,2.75255892069125,2.7147267166544,2.77132710962488
dpfi,connected_modulated,100,nu_vp,0.6494770333465083,64,64,0,0,64,0.6532852509221286,0.6241521119830592,0.6756359232383558
dpfi,connected_modulated,200,d_peak,2.751540046488,64,64,0,0,64,2.74556575206475,2.72455004268456,2.77527674159544
dpfi,connected_modulated,200,nu_vp,0.6494770333465083,64,64,0,0,64,0.6570216961451247,0.6295842878743597,0.6732160413962913
dpfi,connected_modulated,400,d_peak,2.751540046488,64,64,0,0,64,2.7506361906807504,2.73859567822254,2.76076509504978
dpfi,connected_modulated,400,nu_vp,0.6494770333465083,64,64,0,0,64,0.6503700022468327,0.6357426019661703,0.6606196146540106
dpfi,separated_droplets,25,d_peak,2.799987273455,64,63,1,1,26,2.8019297113045,2.7705068999732,2.83020420001192
dpfi,separated_droplets,25,nu_vp,0.08736061642362755,64,63,1,1,25,0.08284018645094003,0.068872738614131,0.10181511753561932
dpfi,separated_droplets,50,d_peak,2.799987273455,64,64,0,0,22,2.79595670565,2.7737414227861996,2.8194944698650604
dpfi,separated_droplets,50,nu_vp,0.08736061642362755,64,64,0,0,22,0.08506563789777732,0.07854139095596971,0.09452991824293837
dpfi,separated_droplets,100,d_peak,2.799987273455,64,64,0,0,16,2.7994278541057502,2.7839424991020403,2.8126007183647803
dpfi,separated_droplets,100,nu_vp,0.08736061642362755,64,64,0,0,16,0.0868561881151427,0.08002090563218661,0.09375711923802028
dpfi,separated_droplets,200,d_peak,2.799987273455,64,64,0,0,9,2.8000697478305003,2.7890658488059,2.8119880252338
dpfi,separated_droplets,200,nu_vp,0.08736061642362755,64,64,0,0,9,0.08775039278619123,0.08198006822165145,0.09192477147149922
dpfi,separated_droplets,400,d_peak,2.799987273455,64,64,0,0,2,2.7993917486452498,2.7911646658494402,2.8066088121465405
dpfi,separated_droplets,400,nu_vp,0.08736061642362755,64,64,0,0,2,0.08832311371982048,0.0855219837771315,0.09123421450391886
